tempo,regiao,entidade,localizacao_geografica,taxa_de_utilizacao_global_de_consultas_medicas_1_ano,no_utentes_pelo_menos_1_consulta_medicas_presencial_ou_nao_presencial_1_ano,taxa_de_utilizacao_de_consultas_medicas_3_anos,no_utentes_com_pelo_menos_1_consulta_medica_em_3_anos,ano,mes
2016-01-01,Alentejo,Área dos CSP da ULS Alto Alentejo,"39.2967086, -7.4284755",25.57838,30205,83.16679,98210,2016,1
2016-01-01,Centro,ACES Baixo Mondego,"40.2150023, -8.4071805",19.31442,73829,69.63123,266164,2016,1
2016-01-01,Lisboa e Vale do Tejo,Área dos CSP da ULS Arrábida,"38.5324373, -8.8627453",18.78958,43614,73.82926,171371,2016,1
2016-01-01,Lisboa e Vale do Tejo,ACES Sintra,"38.7519209, -9.2753636",14.82209,53503,68.72105,248061,2016,1
2016-01-01,Lisboa e Vale do Tejo,ACES Lisboa Norte,"38.7396924, -9.168506",14.63721,36437,69.43929,172858,2016,1
2016-01-01,Norte,ACES Grande Porto VI - Porto Oriental,"41.1694498, -8.6126428",21.76324,25278,83.20276,96640,2016,1
2016-01-01,Norte,ACES Entre Douro e Vouga II - Aveiro Norte,"40.8472225, -8.4656674",22.99525,26769,86.3372,100506,2016,1
2016-01-01,Norte,Área dos CSP da ULS Matosinhos,"41.1918541, -8.6590693",22.86715,39377,85.61258,147424,2016,1
2016-01-01,Norte,ACES Grande Porto II - Gondomar,"41.1738444, -8.5612238",23.74071,39180,86.00038,141929,2016,1
2016-02-01,Algarve,ACES Algarve III - Algarve Sotavento,"37.383008, -7.7293275",34.17705,18782,80.29297,44125,2016,2
2016-02-01,Centro,ACES Pinhal Interior Norte,"40.1151262, -8.2473136",40.20924,52424,88.07774,114834,2016,2
2016-02-01,Centro,Área dos CSP da ULS Cova da Beira,"40.2677741, -7.4995083",33.97735,29316,78.22,67489,2016,2
2016-02-01,Lisboa e Vale do Tejo,Área dos CSP da ULS Estuário do Tejo,"38.9528113, -8.9911154",26.18244,59719,72.40758,165153,2016,2
2016-02-01,Lisboa e Vale do Tejo,Área dos CSP da ULS Lezíria,"39.2371689, -8.6908895",35.43523,69132,81.431,158867,2016,2
2016-02-01,Lisboa e Vale do Tejo,ACES Sintra,"38.7519209, -9.2753636",24.51059,88508,69.48333,250905,2016,2
2016-02-01,Lisboa e Vale do Tejo,ACES Médio Tejo,"39.478072, -8.5404429",34.55168,78461,82.03344,186284,2016,2
2016-02-01,Norte,ACES Ave / Famalicão,"41.3835805, -8.4157518",35.30525,43853,85.63332,106366,2016,2
2016-02-01,Norte,ACES Cávado II - Gerês / Cabreira,"41.6298661, -8.3596897",38.41815,40729,87.72249,92999,2016,2
2016-03-01,Algarve,ACES Algarve III - Algarve Sotavento,"37.383008, -7.7293275",42.77794,23533,80.80237,44451,2016,3
2016-03-01,Centro,ACES Baixo Mondego,"40.2150023, -8.4071805",38.61907,147862,70.62107,270389,2016,3
2016-03-01,Lisboa e Vale do Tejo,Área dos CSP da ULS Estuário do Tejo,"38.9528113, -8.9911154",33.93511,77538,72.97288,166735,2016,3
2016-03-01,Lisboa e Vale do Tejo,ACES Loures / Odivelas,"38.8012718, -9.1137868",33.58643,120360,71.03714,254568,2016,3
2016-03-01,Lisboa e Vale do Tejo,ACES Amadora,"38.7573081, -9.23429",33.4222,56162,71.4636,120086,2016,3
2016-03-01,Lisboa e Vale do Tejo,Área dos CSP da ULS Arrábida,"38.5324373, -8.8627453",37.36634,86836,75.10102,174528,2016,3
2016-03-01,Norte,ACES Tâmega I - Baixo Tâmega,"41.2719719, -8.0791631",46.78818,79524,86.48494,146995,2016,3
2016-03-01,Norte,Área dos CSP da ULS Barcelos / Esposende,"41.5317419, -8.6178922",47.77603,74941,88.65605,139065,2016,3
2016-03-01,Norte,ACES Alto Trás-os-Montes - Alto Tâmega e Barroso,"41.741781, -7.4731648",47.49075,44032,86.3531,80064,2016,3
2016-03-01,Norte,Área dos CSP da ULS Alto Minho,"41.7056054, -8.8252713",49.67318,121818,87.64267,214934,2016,3
2016-04-01,Centro,ACES Baixo Mondego,"40.2150023, -8.4071805",44.42571,170246,71.87923,275452,2016,4
2016-04-01,Lisboa e Vale do Tejo,Área dos CSP da ULS Arco Ribeirinho,"38.6672076, -9.0543329",40.29926,89767,73.5009,163724,2016,4
2016-04-01,Lisboa e Vale do Tejo,ACES Lisboa Norte,"38.7396924, -9.168506",36.09346,90844,70.53888,177540,2016,4
2016-04-01,Lisboa e Vale do Tejo,Área dos CSP da ULS Estuário do Tejo,"38.9528113, -8.9911154",39.30335,89963,73.44098,168102,2016,4
2016-04-01,Lisboa e Vale do Tejo,ACES Lisboa Central,"38.7306317, -9.1510414",35.49042,98564,67.50684,187480,2016,4
2016-04-01,Norte,ACES Tâmega II - Vale do Sousa Sul,"41.1548155, -8.2163769",53.40022,94685,88.20102,156391,2016,4
2016-04-01,Norte,ACES Grande Porto III - Maia / Valongo,"41.2333945, -8.6187474",51.03134,110119,85.41339,184311,2016,4
2016-04-01,Norte,"ACES Alto Ave - Guimarães, Vizela e Terras de Basto","41.4417064, -8.1722408",54.61423,147128,89.82758,241991,2016,4
2016-04-01,Norte,ACES Grande Porto VI - Porto Oriental,"41.1694498, -8.6126428",50.23224,58616,84.41597,98505,2016,4
2016-04-01,Norte,ACES Grande Porto VIII - Espinho / Gaia,"41.0022421, -8.642018",53.36047,98830,87.92195,162842,2016,4
2016-04-01,Norte,ACES Cávado I - Braga,"41.5518714, -8.4126362",50.749,93063,87.8214,161046,2016,4
2016-05-01,Alentejo,Área dos CSP da ULS Litoral Alentejano,"38.3841359, -8.5132031",53.17433,49517,82.26091,76603,2016,5
2016-05-01,Lisboa e Vale do Tejo,ACES Cascais,"38.69904, -9.3818008",39.45755,77104,66.31442,129585,2016,5
2016-05-01,Lisboa e Vale do Tejo,Área dos CSP da ULS Estuário do Tejo,"38.9528113, -8.9911154",43.53501,99831,73.90106,169464,2016,5
2016-05-01,Lisboa e Vale do Tejo,ACES Lisboa Norte,"38.7396924, -9.168506",40.47166,102214,70.95903,179212,2016,5
2016-05-01,Lisboa e Vale do Tejo,ACES Lisboa Ocidental e Oeiras,"38.6914388, -9.3184304",41.46135,99302,72.43523,173486,2016,5
2016-05-01,Norte,ACES Ave / Famalicão,"41.3835805, -8.4157518",57.03904,70875,87.23855,108400,2016,5
2016-05-01,Norte,Área dos CSP da ULS Barcelos / Esposende,"41.5317419, -8.6178922",58.82244,92323,89.30374,140164,2016,5
2016-06-01,Centro,Área dos CSP da ULS Guarda,"40.5353285, -7.2724426",60.08717,91127,85.58137,129791,2016,6
2016-06-01,Lisboa e Vale do Tejo,Área dos CSP da ULS Arco Ribeirinho,"38.6672076, -9.0543329",47.17977,105393,74.30009,165976,2016,6
2016-06-01,Lisboa e Vale do Tejo,ACES Médio Tejo,"39.478072, -8.5404429",57.79594,131506,83.72822,190511,2016,6
2016-06-01,Norte,Área dos CSP da ULS Póvoa Varzim / Vila Conde,"41.355519, -8.746653",59.1233,88209,88.89708,132630,2016,6
2016-06-01,Norte,Área dos CSP da ULS Alto Minho,"41.7056054, -8.8252713",64.67339,158779,88.65255,217650,2016,6
2016-06-01,Norte,ACES Tâmega II - Vale do Sousa Sul,"41.1548155, -8.2163769",62.05892,110149,88.80788,157626,2016,6
2016-06-01,Norte,ACES Grande Porto VIII - Espinho / Gaia,"41.0022421, -8.642018",61.74967,114495,88.56098,164208,2016,6
2016-06-01,Norte,ACES Alto Trás-os-Montes - Alto Tâmega e Barroso,"41.741781, -7.4731648",62.16989,57652,87.28177,80939,2016,6
2016-06-01,Norte,ACES Grande Porto III - Maia / Valongo,"41.2333945, -8.6187474",59.85048,129456,86.19134,186431,2016,6
2016-06-01,Norte,ACES Cávado II - Gerês / Cabreira,"41.6298661, -8.3596897",63.04862,67143,88.94773,94724,2016,6
2016-07-01,Algarve,ACES Algarve III - Algarve Sotavento,"37.383008, -7.7293275",57.70454,32127,82.07813,45697,2016,7
2016-07-01,Centro,ACES Pinhal Interior Sul,"39.7510898, -7.9203657",71.84808,22436,90.92132,28392,2016,7
2016-07-01,Centro,ACES Pinhal Litoral,"39.7495331, -8.807683",57.88281,153779,82.69602,219701,2016,7
2016-07-01,Centro,Área dos CSP da ULS Região de Aveiro,"40.6405055, -8.6537539",62.58163,240070,85.53952,328139,2016,7
2016-07-01,Centro,Área dos CSP da ULS Guarda,"40.5353285, -7.2724426",62.63675,95102,85.84347,130337,2016,7
