tempo,periodoformat2,regiao,instituicao,localizacao_geografica,urgencias_geral,total_urgencias,ano,mes
2024-01-01,2024/01/01,Lisboa e Vale do Tejo,"Unidade Local de Saúde de Almada-Seixal, EPE","38.67381, -9.17597",6831,10899,2024,1
2024-01-01,2024/01/01,Lisboa e Vale do Tejo,"Unidade Local de Saúde de Amadora/Sintra, EPE","38.7436332060551, -9.0",13917,18488,2024,1
2024-01-01,2024/01/01,Centro,"Unidade Local de Saúde de Dão-Lafões, EPE","40.6509, -7.91039",8917,13104,2024,1
2024-01-01,2024/01/01,Norte,"Unidade Local de Saúde de Entre Douro e Vouga, EPE","40.9295, -8.54567",15899,19249,2024,1
2024-01-01,2024/01/01,Lisboa e Vale do Tejo,"Unidade Local de Saúde de Lisboa Ocidental, EPE","38.7084, -9.21711",6569,10051,2024,1
2024-01-01,2024/01/01,Norte,"Unidade Local de Saúde de Santo António, EPE","41.147283, -8.619536",9644,11238,2024,1
2024-01-01,2024/01/01,Lisboa e Vale do Tejo,"Unidade Local de Saúde de São José, EPE","38.7169, -9.13654",10366,19524,2024,1
2024-01-01,2024/01/01,Alentejo,"Unidade Local de Saúde do Alto Alentejo, EPE","39.2999, -7.4267",6586,7543,2024,1
2024-01-01,2024/01/01,Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE","38.0146, -7.86863",7970,9884,2024,1
2024-01-01,2024/01/01,Centro,"Unidade Local de Saúde do Baixo Mondego, EPE","40.130297609, -8.8606",3994,5615,2024,1
2024-01-01,2024/01/01,Lisboa e Vale do Tejo,"Unidade Local de Saúde do Médio Tejo, EPE","39.605565, -8.404399",8830,10985,2024,1
2025-01-01,2025/01/01,Lisboa e Vale do Tejo,"Hospital de Cascais, PPP","38.730076, -9.418207",7169,12271,2025,1
2025-01-01,2025/01/01,Centro,"Unidade Local de Saúde da Cova da Beira, EPE","40.2776794433594, -7.0",3960,6331,2025,1
2025-01-01,2025/01/01,Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309943471486, -7.0",7223,9285,2025,1
2025-01-01,2025/01/01,Lisboa e Vale do Tejo,"Unidade Local de Saúde da Lezíria, EPE","39.232503, -8.715083",6310,9235,2025,1
2025-01-01,2025/01/01,Lisboa e Vale do Tejo,"Unidade Local de Saúde de Almada-Seixal, EPE","38.67381, -9.17597",7108,11039,2025,1
2025-01-01,2025/01/01,Centro,"Unidade Local de Saúde de Coimbra, EPE","40.217426, -8.410075",15076,22076,2025,1
