tempo,regiao,instituicao,localizacao_geografica,no_intervencoes_cirurgicas_programadas,no_intervencoes_cirurgicas_convencionais,no_intervencoes_cirurgicas_de_ambulatorio,no_intervencoes_cirurgicas_urgentes,ano,mes
2013-01-01,Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364, -8.0827433",1616.0,684.0,932.0,217.0,2013.0,1.0
2013-01-01,Centro,Hospital Arcebispo João Crisóstomo,"40.3470015, -8.5933462",95.0,,95.0,,2013.0,1.0
2013-01-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948, -9.1371248",3230.0,1488.0,1742.0,644.0,2013.0,1.0
2013-01-01,Lisboa e Vale do Tejo,"Centro Hospitalar de Setúbal, EPE","38.5283754, -8.8818638",649.0,317.0,332.0,112.0,2013.0,1.0
2013-01-01,Norte,"Centro Hospitalar Entre Douro e Vouga, EPE","40.9293884, -8.5458794",1399.0,719.0,680.0,206.0,2013.0,1.0
2013-01-01,Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.1794456, -8.6745115",1070.0,475.0,595.0,146.0,2013.0,1.0
2013-02-01,Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",767.0,251.0,516.0,128.0,2013.0,2.0
2013-02-01,Centro,Hospital Arcebispo João Crisóstomo,"40.3470015, -8.5933462",216.0,,216.0,,2013.0,2.0
2013-02-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário de Lisboa Norte, EPE","38.7500861, -9.1616116",4159.0,2017.0,2142.0,837.0,2013.0,2.0
2013-02-01,Lisboa e Vale do Tejo,"Centro Hospitalar Médio Tejo, EPE","39.478072, -8.5404429",1066.0,486.0,580.0,279.0,2013.0,2.0
2013-02-01,Lisboa e Vale do Tejo,"Hospital de Loures, PPP","38.821455, -9.176296",1374.0,555.0,819.0,318.0,2013.0,2.0
2013-02-01,Lisboa e Vale do Tejo,"Hospital Garcia de Orta, EPE","38.6658713, -9.1822554",1793.0,812.0,981.0,351.0,2013.0,2.0
2013-02-01,Lisboa e Vale do Tejo,Instituto Gama Pinto,"38.7218793, -9.144249",577.0,,577.0,,2013.0,2.0
2013-02-01,Norte,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE","41.3828711, -8.7589945",1239.0,473.0,766.0,204.0,2013.0,2.0
2013-02-01,Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","41.3031784, -7.7515252",2012.0,800.0,1212.0,362.0,2013.0,2.0
2013-02-01,Norte,"Hospital de Braga, PPP","41.56785, -8.398982",3842.0,1656.0,2186.0,361.0,2013.0,2.0
2013-02-01,Norte,"Hospital Santa Maria Maior, EPE","41.5324234, -8.6171561",591.0,241.0,350.0,45.0,2013.0,2.0
2013-02-01,Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.1794456, -8.6745115",2032.0,888.0,1144.0,275.0,2013.0,2.0
2013-03-01,Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",3585.0,1437.0,2148.0,338.0,2013.0,3.0
2013-03-01,Centro,Hospital José Luciano de Castro,"40.4422767, -8.4438729",117.0,,117.0,,2013.0,3.0
2013-03-01,Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916, -7.2734793",1977.0,768.0,1209.0,292.0,2013.0,3.0
2013-03-01,Centro,"Unidade Local de Saúde de Castelo Branco, EPE","39.8212263, -7.4981271",1303.0,661.0,642.0,312.0,2013.0,3.0
2013-03-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948, -9.1371248",9207.0,4322.0,4885.0,1851.0,2013.0,3.0
2013-03-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário de Lisboa Norte, EPE","38.7500861, -9.1616116",6432.0,3155.0,3277.0,1301.0,2013.0,3.0
2013-03-01,Lisboa e Vale do Tejo,"Instituto Português Oncologia de Lisboa, EPE","38.7396768, -9.1634516",1813.0,1174.0,639.0,71.0,2013.0,3.0
2013-03-01,Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","41.1094138, -8.5972617",5484.0,2373.0,3111.0,705.0,2013.0,3.0
2013-03-01,Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",1455.0,749.0,706.0,444.0,2013.0,3.0
