tempo,regiao,instituicao,localizacao_geografica,no_episodios_cirurgicos_ambulat_com_procedimentos_ambulatorizaveis,no_episodios_cirurgicos_ambulat_e_intern_com_proced_ambulatorizaveis,ano,mes
2024-01-01,Centro,"Instituto Português Oncologia  F. Gentil - Centro, E.P.E.","40.217, -8.40991",6.0,25.0,2024,1
2024-01-01,Centro,"Unidade Local de Saúde Castelo Branco, EPE","39.822737, -7.499876",143.0,189.0,2024,1
2024-01-01,Lisboa e Vale do Tejo,"Unidade Local de Saúde de Amadora/Sintra, EPE","38.7436332060551, -9.0",713.0,770.0,2024,1
2024-01-01,Norte,"Unidade Local de Saúde de São João, EPE","41.1833, -8.60193",752.0,980.0,2024,1
2024-01-01,Norte,"Unidade Local de Saúde de Vila Nova de Gaia/Espinho, EPE","41.1254463195801, -8.0",800.0,894.0,2024,1
2024-01-01,Norte,"Unidade Local de Saúde do Alto Ave, EPE","41.488574, -8.338685",432.0,513.0,2024,1
2024-01-01,Lisboa e Vale do Tejo,"Unidade Local de Saúde do Arco Ribeirinho, EPE","38.6527214050293, -9.0",169.0,210.0,2024,1
2024-01-01,Norte,"Unidade Local de Saúde do Nordeste, EPE","41.802452, -6.768198",258.0,319.0,2024,1
2024-01-01,Norte,"Unidade Local de Saúde do Tâmega e Sousa, EPE","41.1971153671548, -8.0",720.0,769.0,2024,1
2025-01-01,Centro,"Instituto Português Oncologia  F. Gentil - Centro, E.P.E.","40.217, -8.40991",4.0,21.0,2025,1
2025-01-01,Centro,"Unidade Local de Saúde Castelo Branco, EPE","39.822737, -7.499876",33.0,58.0,2025,1
2025-01-01,Lisboa e Vale do Tejo,"Unidade Local de Saúde da Arrábida, EPE","38.529351, -8.881073",466.0,492.0,2025,1
2025-01-01,Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.181859, -8.663374",233.0,235.0,2025,1
2025-01-01,Norte,"Unidade Local de Saúde de Santo António, EPE","41.147283, -8.619536",1091.0,1184.0,2025,1
2025-01-01,Lisboa e Vale do Tejo,"Unidade Local de Saúde de São José, EPE","38.7169, -9.13654",1050.0,1106.0,2025,1
2025-01-01,Alentejo,"Unidade Local de Saúde do Alentejo Central, EPE","38.568838, -7.903064",390.0,443.0,2025,1
2025-01-01,Lisboa e Vale do Tejo,"Unidade Local de Saúde do Médio Tejo, EPE","39.605565, -8.404399",343.0,407.0,2025,1
2024-02-01,Lisboa e Vale do Tejo,"Unidade Local de Saúde de Santa Maria, EPE","38.7500648498535, -9.0",1228.0,1389.0,2024,2
2024-02-01,Norte,"Unidade Local de Saúde de Santo António, EPE","41.147283, -8.619536",2104.0,2370.0,2024,2
2024-02-01,Norte,"Unidade Local de Saúde de São João, EPE","41.1833, -8.60193",1573.0,2066.0,2024,2
2024-02-01,Alentejo,"Unidade Local de Saúde do Alentejo Central, EPE","38.568838, -7.903064",535.0,629.0,2024,2
2024-02-01,Norte,"Unidade Local de Saúde do Alto Minho, EPE","41.697519, -8.832517",1146.0,1230.0,2024,2
2024-02-01,Lisboa e Vale do Tejo,"Unidade Local de Saúde do Arco Ribeirinho, EPE","38.6527214050293, -9.0",338.0,425.0,2024,2
2024-02-01,Norte,"Unidade Local de Saúde do Médio Ave, EPE","41.3422317504883, -8.0",555.0,617.0,2024,2
2025-02-01,Lisboa e Vale do Tejo,"Hospital de Cascais, PPP","38.730076, -9.418207",955.0,1004.0,2025,2
2025-02-01,Lisboa e Vale do Tejo,"Unidade Local de Saúde da Lezíria, EPE","39.232503, -8.715083",450.0,467.0,2025,2
2025-02-01,Lisboa e Vale do Tejo,"Unidade Local de Saúde de Amadora/Sintra, EPE","38.7436332060551, -9.0",1105.0,1211.0,2025,2
2025-02-01,Centro,"Unidade Local de Saúde de Coimbra, EPE","40.217426, -8.410075",2154.0,2392.0,2025,2
2025-02-01,Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.181859, -8.663374",481.0,485.0,2025,2
2025-02-01,Lisboa e Vale do Tejo,"Unidade Local de Saúde de Santa Maria, EPE","38.7500648498535, -9.0",1499.0,1660.0,2025,2
2025-02-01,Alentejo,"Unidade Local de Saúde do Alentejo Central, EPE","38.568838, -7.903064",689.0,790.0,2025,2
2025-02-01,Norte,"Unidade Local de Saúde do Alto Minho, EPE","41.697519, -8.832517",957.0,1070.0,2025,2
2025-02-01,Norte,"Unidade Local de Saúde do Médio Ave, EPE","41.3422317504883, -8.0",455.0,539.0,2025,2
2025-02-01,Norte,"Unidade Local de Saúde do Tâmega e Sousa, EPE","41.1971153671548, -8.0",1441.0,1545.0,2025,2
2024-03-01,Lisboa e Vale do Tejo,"Hospital de Cascais, PPP","38.730076, -9.418207",1100.0,1159.0,2024,3
2024-03-01,Centro,"Unidade Local de Saúde de Dão-Lafões, EPE","40.6509, -7.91039",1406.0,1504.0,2024,3
2024-03-01,Norte,"Unidade Local de Saúde de Entre Douro e Vouga, EPE","40.9295, -8.54567",1564.0,1780.0,2024,3
2024-03-01,Norte,"Unidade Local de Saúde de Santo António, EPE","41.147283, -8.619536",3108.0,3502.0,2024,3
2024-03-01,Norte,"Unidade Local de Saúde de Vila Nova de Gaia/Espinho, EPE","41.1254463195801, -8.0",2334.0,2730.0,2024,3
2024-03-01,Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE","38.0146, -7.86863",370.0,452.0,2024,3
2024-03-01,Norte,"Unidade Local de Saúde do Nordeste, EPE","41.802452, -6.768198",840.0,1015.0,2024,3
2024-03-01,Lisboa e Vale do Tejo,"Unidade Local de Saúde do Oeste, EPE","39.4055519104004, -9.0",1021.0,1133.0,2024,3
2025-03-01,Centro,"Unidade Local de Saúde da Região de Aveiro, EPE","40.636332, -8.654388",1232.0,1353.0,2025,3
2025-03-01,Lisboa e Vale do Tejo,"Unidade Local de Saúde de Lisboa Ocidental, EPE","38.7084, -9.21711",893.0,988.0,2025,3
2025-03-01,Norte,"Unidade Local de Saúde de São João, EPE","41.1833, -8.60193",2609.0,3372.0,2025,3
2025-03-01,Lisboa e Vale do Tejo,"Unidade Local de Saúde de São José, EPE","38.7169, -9.13654",2837.0,2986.0,2025,3
2025-03-01,Norte,"Unidade Local de Saúde do Nordeste, EPE","41.802452, -6.768198",718.0,820.0,2025,3
2024-04-01,Norte,"Instituto Português Oncologia  F. Gentil - Porto, E.P.E.","41.1811, -8.60469",168.0,535.0,2024,4
2024-04-01,Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309943471486, -7.0",240.0,282.0,2024,4
2024-04-01,Lisboa e Vale do Tejo,"Unidade Local de Saúde de Loures-Odivelas, EPE","38.821769, -9.176301",1089.0,1275.0,2024,4
2024-04-01,Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.181859, -8.663374",2206.0,2378.0,2024,4
2024-04-01,Lisboa e Vale do Tejo,"Unidade Local de Saúde de Santa Maria, EPE","38.7500648498535, -9.0",2456.0,2820.0,2024,4
