tempo,periodo_format_2,regiao,instituicao,localizacao_geografica,no_de_consultas_medicas_total,no_de_primeiras_consultas,no_de_consultas_subsequentes,ano,mes
2024-01-01,2024/01/01,Lisboa e Vale do Tejo,"Unidade Local de Saúde da Arrábida, EPE","38.529351, -8.881073",25384.0,7062.0,18322.0,2024,1
2024-01-01,2024/01/01,Centro,"Unidade Local de Saúde de Coimbra, EPE","40.217426, -8.410075",88052.0,21700.0,66352.0,2024,1
2024-01-01,2024/01/01,Centro,"Unidade Local de Saúde de Dão-Lafões, EPE","40.6509, -7.91039",26143.0,7878.0,18265.0,2024,1
2024-01-01,2024/01/01,Norte,"Unidade Local de Saúde de Entre Douro e Vouga, EPE","40.9295, -8.54567",31435.0,9861.0,21574.0,2024,1
2024-01-01,2024/01/01,Lisboa e Vale do Tejo,"Unidade Local de Saúde de Lisboa Ocidental, EPE","38.7084, -9.21711",44750.0,10345.0,34405.0,2024,1
2024-01-01,2024/01/01,Lisboa e Vale do Tejo,"Unidade Local de Saúde de Loures-Odivelas, EPE","38.821769, -9.176301",21236.0,5751.0,15485.0,2024,1
2024-01-01,2024/01/01,Lisboa e Vale do Tejo,"Unidade Local de Saúde do Oeste, EPE","39.4055519104004, -9.0",14706.0,4330.0,10376.0,2024,1
2025-01-01,2025/01/01,Lisboa e Vale do Tejo,"Instituto Português Oncologia  F. Gentil - Lisboa, E.P.E.","38.739946, -9.161139",31689.0,6458.0,25231.0,2025,1
2025-01-01,2025/01/01,Norte,"Instituto Português Oncologia  F. Gentil - Porto, E.P.E.","41.1811, -8.60469",32641.0,10119.0,22522.0,2025,1
2025-01-01,2025/01/01,Centro,"Unidade Local de Saúde da Cova da Beira, EPE","40.2776794433594, -7.0",14789.0,4106.0,10683.0,2025,1
2025-01-01,2025/01/01,Centro,"Unidade Local de Saúde da Região de Leiria, EPE","39.7418, -8.79444",30431.0,8442.0,21989.0,2025,1
2025-01-01,2025/01/01,Norte,"Unidade Local de Saúde de São João, EPE","41.1833, -8.60193",85884.0,21901.0,63983.0,2025,1
2025-01-01,2025/01/01,Lisboa e Vale do Tejo,"Unidade Local de Saúde de São José, EPE","38.7169, -9.13654",78250.0,21356.0,56894.0,2025,1
2025-01-01,2025/01/01,Lisboa e Vale do Tejo,"Unidade Local de Saúde do Estuário do Tejo, EPE","38.977344, -8.984882",13359.0,3414.0,9945.0,2025,1
2025-01-01,2025/01/01,Norte,"Unidade Local de Saúde do Médio Ave, EPE","41.3422317504883, -8.0",16339.0,4882.0,11457.0,2025,1
2024-02-01,2024/02/01,Lisboa e Vale do Tejo,"Hospital de Cascais, PPP","38.730076, -9.418207",32208.0,9115.0,23093.0,2024,2
2024-02-01,2024/02/01,Norte,"Instituto Português Oncologia  F. Gentil - Porto, E.P.E.","41.1811, -8.60469",59273.0,17984.0,41289.0,2024,2
2024-02-01,2024/02/01,Lisboa e Vale do Tejo,"Unidade Local de Saúde da Lezíria, EPE","39.232503, -8.715083",26028.0,7943.0,18085.0,2024,2
2024-02-01,2024/02/01,Norte,"Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde, EPE","41.383183, -8.758784",19601.0,7004.0,12597.0,2024,2
2024-02-01,2024/02/01,Norte,"Unidade Local de Saúde de Entre Douro e Vouga, EPE","40.9295, -8.54567",61598.0,19540.0,42058.0,2024,2
2024-02-01,2024/02/01,Lisboa e Vale do Tejo,"Unidade Local de Saúde de Santa Maria, EPE","38.7500648498535, -9.0",142903.0,40922.0,101981.0,2024,2
2024-02-01,2024/02/01,Norte,"Unidade Local de Saúde de Santo António, EPE","41.147283, -8.619536",138335.0,34323.0,104012.0,2024,2
2024-02-01,2024/02/01,Lisboa e Vale do Tejo,"Unidade Local de Saúde do Oeste, EPE","39.4055519104004, -9.0",29210.0,8800.0,20410.0,2024,2
2025-02-01,2025/02/01,Centro,"Unidade Local de Saúde Castelo Branco, EPE","39.822737, -7.499876",16671.0,6097.0,10574.0,2025,2
