tempo,orcamento_receita_corrente,orcamento_receita_fiscal,orcamento_impostos_directos,orcamento_impostos_indirectos,orcamento_contribuicoes_de_seguranca_social,orcamento_outras_receitas_correntes,orcamento_outras_receitas_correntes_das_quais_transferencias_de_outros_subsectores_das_ap,orcamento_receita_de_capital,orcamento_receita_de_capital_das_quais_transferencias_de_outros_subsectores_das_ap,orcamento_receita_efectiva,orcamento_despesa_corrente,orcamento_consumo_publico,orcamento_despesas_com_o_pessoal,orcamento_remuneracoes_certas_e_permanentes,orcamento_abonos_variaveis_ou_eventuais,orcamento_seguranca_social,orcamento_aquisicao_de_bens_e_servicos,orcamento_produtos_vendidos_em_farmacias,orcamento_meios_complementares_de_diagnostico_e_terapeutica,orcamento_parcerias_publico_privadas_ppp,orcamento_aquisicao_de_bens_compras_inventarios,orcamento_outras_aquisicoes_de_bens_e_servicos,orcamento_outras_despesas_correntes,orcamento_juros_e_outros_encargos,orcamento_transferencias_correntes,orcamento_transferencias_correntes_das_quais_transferencias_para_outros_subsectores_das_ap,orcamento_despesa_de_capital,orcamento_investimentos,orcamento_transferencias_de_capital,orcamento_transferencias_de_capital_das_quais_transferencias_para_outros_subsectores_das_ap,orcamento_outras_despesas_de_capital,orcamento_despesa_efectiva,orcamento_saldo_global,execucao_acumulada_receita_corrente,execucao_acumulada_receita_fiscal,execucao_acumulada_impostos_directos,execucao_acumulada_impostos_indirectos,execucao_acumulada_contribuicoes_de_seguranca_social,execucao_acumulada_outras_receitas_correntes,execucao_acumulada_outras_receitas_correntes_das_quais_transferencias_de_outros_subsectores_das_ap,execucao_acumulada_receita_de_capital,execucao_acumulada_receita_de_capital_das_quais_transferencias_de_outros_subsectores_das_ap,execucao_acumulada_receita_efectiva,execucao_acumulada_despesa_corrente,execucao_acumulada_consumo_publico,execucao_acumulada_despesas_com_o_pessoal,execucao_acumulada_remuneracoes_certas_e_permanentes,execucao_acumulada_abonos_variaveis_ou_eventuais,execucao_acumulada_seguranca_social,execucao_acumulada_aquisicao_de_bens_e_servicos,execucao_acumulada_produtos_vendidos_em_farmacias,execucao_acumulada_meios_complementares_de_diagnostico_e_terapeutica,execucao_acumulada_parcerias_publico_privadas_ppp,execucao_acumulada_aquisicao_de_bens_compras_inventarios,execucao_acumulada_outras_aquisicoes_de_bens_e_servicos,execucao_acumulada_outras_despesas_correntes,execucao_acumulada_juros_e_outros_encargos,execucao_acumulada_transferencias_correntes,execucao_acumulada_transferencias_correntes_das_quais_transferencias_para_outros_subsectores_das_ap,execucao_acumulada_despesa_de_capital,execucao_acumulada_investimentos,execucao_acumulada_transferencias_de_capital,execucao_acumulada_transferencias_de_capital_das_quais_transferencias_para_outros_subsectores_das_ap,execucao_acumulada_outras_despesas_de_capital,execucao_acumulada_despesa_efectiva,execucao_acumulada_saldo_global,ano,mes
2016-01-01,8691.0,104.0,104.0,0.0,0.0,8587.0,7943.0,63.0,0.0,8754.0,8822.900000000001,8780.800000000001,3591.0,0.0,0.0,0.0,5145.7,1187.0,1300.4,447.9,1577.2,633.2,44.1,4.2,37.9,0.0,109.8,105.8,4.0,0.0,0.0,8932.7,-178.70000000000073,685.1000000000001,0.0,0.0,0.0,0.0,685.1000000000001,653.7,0.9,0.0,686.0000000000001,670.0000000000001,669.7,310.6,206.5,46.0,58.1,356.5,102.8,96.6,29.9,90.0,37.2,2.6,0.2,0.1,0.0,1.1,1.1,0.0,0.0,0.0,671.1000000000001,14.899999999999975,2016,1
2016-09-01,8691.0,104.0,104.0,0.0,0.0,8587.0,7943.0,63.0,0.0,8754.0,8822.900000000001,8780.800000000001,3591.0,0.0,0.0,0.0,5145.7,1187.0,1300.4,447.9,1577.2,633.2,44.1,4.2,37.9,0.0,109.8,105.8,4.0,0.0,0.0,8932.7,-178.70000000000073,6495.1,81.7,81.7,0.0,0.0,6413.400000000001,5982.0,16.5,0.0,6511.6,6555.9000000000015,6498.300000000001,2665.7,1761.2,415.3,489.2,3805.000000000001,927.5,987.7,284.6,1141.9,463.3,27.6,6.1,51.5,0.0,66.9,66.5,0.4,0.0,0.0,6622.800000000001,-111.19999999999982,2016,9
2017-01-01,8803.400000000001,130.7,130.7,0.0,0.0,8672.7,8094.1,78.7,0.0,8882.100000000002,9020.2,8954.0,3692.0,0.0,0.0,0.0,5212.5,1207.7,1292.9,448.0,1649.5,614.4,49.5,3.3,62.9,0.0,110.0,90.9,19.1,0.0,0.0,9130.2,-248.1000000000004,696.8,0.0,0.0,0.0,0.0,696.8,664.5,0.8,0.0,697.5999999999999,712.9,712.3,325.4,213.1,53.1,59.2,385.9,105.4,101.4,35.5,103.0,40.6,1.0,0.0,0.6,0.0,1.6,1.6,0.0,0.0,0.0,714.5,-16.899999999999977,2017,1
2017-02-01,8803.400000000001,130.7,130.7,0.0,0.0,8672.7,8094.1,78.7,0.0,8882.100000000002,9020.2,8954.0,3692.0,0.0,0.0,0.0,5212.5,1207.7,1292.9,448.0,1649.5,614.4,49.5,3.3,62.9,0.0,110.0,90.9,19.1,0.0,0.0,9130.2,-248.1000000000004,1449.4,28.5,28.5,0.0,0.0,1420.9,1355.5,2.5,0.0,1451.9,1456.2,1454.5,651.7,424.2000000000001,107.9,119.6,799.4,211.3,207.1,71.3,227.1,82.6,3.4000000000000004,0.9,0.8,0.0,3.6,3.6,0.0,0.0,0.0,1459.8,-7.899999999999864,2017,2
2017-03-01,8803.400000000001,130.7,130.7,0.0,0.0,8672.7,8094.1,78.7,0.0,8882.100000000002,9020.2,8954.0,3692.0,0.0,0.0,0.0,5212.5,1207.7,1292.9,448.0,1649.5,614.4,49.5,3.3,62.9,0.0,110.0,90.9,19.1,0.0,0.0,9130.2,-248.1000000000004,2163.2000000000003,28.5,28.5,0.0,0.0,2134.7000000000003,2027.7,2.6,0.0,2165.8,2258.0,2241.2,978.7,640.3,159.3,179.1,1254.4,309.7,316.9,107.0,382.9,137.9,8.1,1.0,15.8,0.0,7.5,7.5,0.0,0.0,0.0,2265.5,-99.69999999999982,2017,3
2017-09-01,8803.400000000001,130.7,130.7,0.0,0.0,8672.7,8094.1,78.7,0.0,8882.100000000002,9020.2,8954.0,3692.0,0.0,0.0,0.0,5212.5,1207.7,1292.9,448.0,1649.5,614.4,49.5,3.3,62.9,0.0,110.0,90.9,19.1,0.0,0.0,9130.2,-248.1000000000004,6761.500000000001,85.3,85.3,0.0,0.0,6676.200000000001,6285.8,21.6,0.0,6783.100000000001,6871.0,6822.7,2783.4,1807.5,472.7,503.2,4014.8,961.7,1013.4,333.3,1240.2000000000005,466.2,24.5,1.6,46.7,0.0,45.9,45.1,0.8,0.0,0.0,6916.9,-133.79999999999927,2017,9
2018-01-01,9303.0,110.0,110.0,0.0,0.0,9193.0,8594.0,112.0,0.0,9415.0,9507.0,9443.0,3968.0,0.0,0.0,0.0,5446.0,1259.0,1403.0,444.0,1720.0,620.0,29.0,1.0,63.0,0.0,160.0,0.0,0.0,0.0,0.0,9667.0,-252.0,750.6,0.0,0.0,0.0,0.0,750.6,702.9,2.3,0.0,752.9,748.0999999999999,742.5999999999999,325.5,228.2,37.9,59.4,414.6,109.3,98.2,37.7,122.4,47.0,2.5,0.0,5.5,0.0,0.3,0.3,0.0,0.0,0.0,748.3999999999999,4.5,2018,1
2018-02-01,9303.0,110.0,110.0,0.0,0.0,9193.0,8594.0,112.0,0.0,9415.0,9507.0,9443.0,3968.0,0.0,0.0,0.0,5446.0,1259.0,1403.0,444.0,1720.0,620.0,29.0,1.0,63.0,0.0,160.0,0.0,0.0,0.0,0.0,9667.0,-252.0,1515.4,39.4,39.4,0.0,0.0,1475.9999999999998,1414.3,2.9,0.0,1518.3,1517.4,1508.3000000000002,658.9,460.1,78.8,120.0,844.7000000000002,220.9,207.1000000000001,73.2,240.40000000000003,103.1,4.7,0.1,9.0,0.0,5.1,5.1,0.0,0.0,0.0,1522.5,-4.2000000000000455,2018,2
2018-08-01,9303.0,110.0,110.0,0.0,0.0,9193.0,8594.0,112.0,0.0,9415.0,9507.0,9443.0,3968.0,0.0,0.0,0.0,5446.0,1259.0,1403.0,444.0,1720.0,620.0,29.0,1.0,63.0,0.0,160.0,0.0,0.0,0.0,0.0,9667.0,-252.0,6202.6,91.4,91.4,0.0,0.0,6111.200000000001,5818.0,13.2,0.0,6215.8,6293.4,6239.099999999999,2534.1,1752.4,322.6,459.1,3681.8,892.7,847.6999999999997,303.7,1131.9,505.8,23.2,0.5,53.8,0.0,62.2,61.0,1.2,0.0,0.0,6355.599999999999,-139.79999999999927,2018,8
2019-10-01,9999.0,113.0,113.0,0.0,0.0,9886.0,9206.0,112.0,0.0,10111.0,10027.0,9945.0,4155.0,0.0,0.0,0.0,5756.0,1335.0,1351.0,474.0,1834.0,762.0,34.0,1.0,81.0,0.0,174.0,0.0,0.0,0.0,0.0,10201.0,-90.0,8019.9,89.3,89.3,0.0,0.0,7930.599999999999,7543.0,29.2,0.0,8049.099999999999,8503.2,8446.1,3501.4000000000005,2363.8,500.3,637.3,4925.6,1171.4,1159.2000000000005,365.9,1544.6999999999998,684.4,19.1,1.1,56.0,0.0,105.5,104.1,1.4,0.0,0.0,8608.7,-559.6000000000013,2019,10
