tempo,regiao,entidade,localizacao_geografica,ebitda,gastos_operacionais,rendimentos_operacionais,resultado_liquido,resultados_operacionais,ano,mes
2014-01-01,Lisboa e Vale do Tejo,"Centro Hospitalar de Lisboa - Zona Ocidental, EPE","38.708454, -9.216985",-2115741.66,18461103.88,15756853.29,-2290887.2,-2704250.5900000003,2014,1
2014-01-01,Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523, -8.4098211",307409.61,30017186.66,29606978.49,-594222.4099999999,-410208.17,2014,1
2014-01-01,Norte,"Centro Hospitalar Médio Ave, EPE","41.3423984, -8.4802503",-120550.74,3655031.05,3534480.31,-96909.82,-120550.74,2014,1
2014-01-01,Norte,"Centro Hospitalar Universitário do Porto, EPE","41.1472498, -8.6172617",-1227388.66,22711970.69,21045428.42,-1666991.61,-1666542.27,2014,1
2014-01-01,Norte,"Hospital da Senhora da Oliveira Guimarães, EPE","41.4387173, -8.3086907",0.0,0.0,0.0,0.0,0.0,2014,1
2014-01-01,Lisboa e Vale do Tejo,"Hospital Distrital Santarém, EPE","39.2410946, -8.6937515",-468067.32,6096227.54,5456687.87,225941.12,-639539.67,2014,1
2014-01-01,Lisboa e Vale do Tejo,"Hospital Fernando Fonseca, EPE","38.7422257, -9.2264834",-1636197.4,12760508.15,10779401.9,-1980437.72,-1981106.25,2014,1
2014-01-01,Lisboa e Vale do Tejo,"Hospital Garcia de Orta, EPE - Almada","38.6658713, -9.1822554",61254.27,10906077.78,10655085.56,768755.2,-250992.22,2014,1
2014-01-01,Norte,"Instituto Português de Oncologia do Porto, EPE","41.1785642, -8.6062881",-251445.59,10320968.21,9507271.81,-778100.52,-813696.4,2014,1
2014-02-01,Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",-863489.42,13343229.41,12036938.99,-901508.11,-1306290.42,2014,2
2014-02-01,Lisboa e Vale do Tejo,Instituto de Oftalmologia Dr. Gama Pinto,"38.7218793, -9.144249",-46378.55,917692.14,832741.89,-82254.23000000001,-84950.25,2014,2
2014-02-01,Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",2016641.9,6487892.53,8454911.5,2084785.84,1967018.97,2014,2
2014-02-01,Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",-2890745.86,16143688.11,12662535.41,-3505770.3499999996,-3481152.7,2014,2
2014-03-01,Centro,"Centro Hospitalar de Leiria, EPE","39.7414812, -8.7982706",1838108.95,20046797.75,21100022.389999997,1103279.27,1053224.64,2014,3
2014-03-01,Lisboa e Vale do Tejo,"Centro Hospitalar Médio Tejo, EPE","39.478072, -8.5404429",-3990588.47,20080390.08,15677982.11,-1903705.17,-4402407.970000001,2014,3
2014-03-01,Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364, -8.0827433",622927.99,26900963.47,26829994.46,70360.75,-70969.01,2014,3
2014-03-01,Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",-2509300.31,14246606.94,11479220.51,-2766342.3899999997,-2767386.43,2014,3
2014-03-01,Algarve,"Centro Hospitalar Universitário do Algarve, E.P.E","37.0238973, -7.9281554",2380459.25,41114633.220000006,42036176.21,6514097.109999999,921542.99,2014,3
2014-03-01,Centro,Hospital Dr. Francisco Zagalo - Ovar,"40.8571967, -8.6318023",-222349.94,1525401.48,1303051.54,-202537.72,-222349.94,2014,3
2014-03-01,Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",2775494.72,10068314.68,12794186.47,2880350.84,2725871.79,2014,3
2014-04-01,Norte,"Centro Hospitalar de Entre o Douro e Vouga, EPE","40.9293884, -8.5458794",-965411.43,26664315.02,24462315.39,-1985785.19,-2201999.63,2014,4
2014-04-01,Norte,"Centro Hospitalar Póvoa Varzim / Vila do Conde, EPE","41.3828711, -8.7589945",-2852117.02,8980070.08,5932976.97,-2845737.01,-3047093.11,2014,4
2014-04-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário de Lisboa Central, EPE","38.7166948, -9.1371248",-13916097.49,138163712.35,120496102.84,-12524177.27,-17667609.509999998,2014,4
2014-04-01,Centro,Hospital Arcebispo João Crisóstomo - Cantanhede,"40.3470015, -8.5933462",-216666.32,1351961.3099999998,1135294.99,-218609.56,-216666.32,2014,4
2014-04-01,Centro,"Unidade Local de Saúde de Castelo Branco, EPE","39.8212263, -7.4981271",186810.35,20731939.35,20477293.41,-149293.02000000002,-254645.94,2014,4
2014-04-01,Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE","38.014123, -7.8721227",-395637.55,24538848.04,23536031.16,-595031.76,-1002816.88,2014,4
2014-04-01,Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",-4991573.140000001,31724210.64,25583740.76,-6217385.16,-6140469.88,2014,4
2014-05-01,Centro,"Centro Hospitalar de Leiria, EPE","39.7414812, -8.7982706",2346709.63,34299055.19,35343753.05,1448373.48,1044697.86,2014,5
2014-05-01,Lisboa e Vale do Tejo,"Centro Hospitalar do Barreiro - Montijo, EPE","38.6554005, -9.0592392",-5168483.75,31111352.38,24091495.49,-5961072.82,-7019856.89,2014,5
2014-05-01,Norte,"Centro Hospitalar Póvoa Varzim / Vila do Conde, EPE","41.3828711, -8.7589945",-3378418.95,11083033.53,7461432.51,-3435565.31,-3621601.02,2014,5
2014-05-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário de Lisboa Central, EPE","38.7166948, -9.1371248",-18258052.64,173835349.0,150933709.1,-15656009.03,-22901639.9,2014,5
2014-05-01,Centro,"Hospital Distrital Figueira da Foz, EPE","40.117897, -8.8586755",-227305.07,10622442.05,10089958.6,-401668.12,-532483.45,2014,5
2014-05-01,Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916, -7.2734793",-4537758.0200000005,37326674.97,32255934.28,-5040256.569999999,-5070740.6899999995,2014,5
2014-05-01,Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE","38.014123, -7.8721227",210909.69,30659306.17,30114524.85,-149264.01,-544781.3200000001,2014,5
2014-06-01,Centro,"Centro Hospitalar de Leiria, EPE","39.7414812, -8.7982706",1947814.99,41924714.330000006,42312626.29,809366.4700000001,387911.96,2014,6
2014-06-01,Norte,"Centro Hospitalar Póvoa Varzim / Vila do Conde, EPE","41.3828711, -8.7589945",-1650787.84,12231318.04,10289611.94,-1608874.59,-1941706.1,2014,6
2014-06-01,Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",-1087822.13,38860939.93,36469972.11,-1591276.58,-2390967.82,2014,6
2014-06-01,Lisboa e Vale do Tejo,"Hospital Garcia de Orta, EPE - Almada","38.6658713, -9.1822554",-7486798.34,66734920.28999999,57111347.19,-11250089.37,-9623573.1,2014,6
2014-06-01,Lisboa e Vale do Tejo,"Instituto Português de Oncologia de Lisboa, EPE","38.7396768, -9.1634516",-4047669.02,55058959.36,48164762.53,-5868250.42,-6894196.83,2014,6
2014-06-01,Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.1794456, -8.6745115",-3610906.68,55675012.37,50308767.24,-5974625.07,-5366245.13,2014,6
2014-06-01,Norte,"Unidade Local de Saúde do Alto Minho, EPE","41.7056054, -8.8252713",-730608.88,67330026.19,64106588.150000006,-2973251.92,-3223438.04,2014,6
2014-07-01,Lisboa e Vale do Tejo,"Centro Hospitalar de Lisboa - Zona Ocidental, EPE","38.708454, -9.216985",-5262056.470000001,121108310.48,111816159.2,-10663879.29,-9292151.28,2014,7
2014-07-01,Lisboa e Vale do Tejo,"Centro Hospitalar Médio Tejo, EPE","39.478072, -8.5404429",-7297313.420000001,44731581.059999995,36484817.08,-5942736.32,-8246763.98,2014,7
2014-07-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário de Lisboa Central, EPE","38.7166948, -9.1371248",-18243365.64,234498198.27,209845141.41,-19549200.56,-24653056.86,2014,7
2014-07-01,Algarve,"Centro Hospitalar Universitário do Algarve, E.P.E","37.0238973, -7.9281554",4658642.67,99816923.95,101130125.35,6258732.600000001,1313201.4,2014,7
2014-07-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário Lisboa Norte, EPE","38.7500861, -9.1616116",2696768.85,234739563.62,230613995.52999997,-5150089.2299999995,-4125568.09,2014,7
2014-07-01,Norte,"Hospital Distrital S.Maria Maior, EPE - Barcelos","41.5324234, -8.6171561",-315079.63999999996,11757669.85,11183128.63,-502526.06,-574541.22,2014,7
2014-07-01,Lisboa e Vale do Tejo,"Hospital Distrital Santarém, EPE","39.2410946, -8.6937515",-4443414.76,41245433.129999995,35326019.26,-5174301.529999999,-5919413.87,2014,7
2014-07-01,Lisboa e Vale do Tejo,"Instituto Português de Oncologia de Lisboa, EPE","38.7396768, -9.1634516",-4601537.680000001,66782247.95,58900289.87,-6855315.029999999,-7881958.08,2014,7
