periodo,regiao,entidade,localizacao_geografica,divida_total_fornecedores_externos,divida_vencida_fornecedores_externos,pagamentos_em_atraso,ano,mes
2014-01-01,Norte,Administração Regional de Saúde do Norte,"41.1576321, -8.6066408",83530095.9,6061340.42,4812876.34,2014,1
2014-01-01,Norte,"Centro Hospitalar Universitário do Porto, E. P. E.","41.1472498, -8.6172617",70254401.97,34529502.49,19187281.53,2014,1
2014-01-01,Norte,"Centro Hospitalar Póvoa Varzim / Vila do Conde, E. P. E.","41.3828711, -8.7589945",9990265.77,8639530.83,7213222.93,2014,1
2014-01-01,Alentejo,"Hospital Espírito Santo de Évora, E. P. E.","38.5684861, -7.9032848",9894652.52,1942883.93,0.0,2014,1
2014-01-01,Lisboa e Vale do Tejo,Instituto de Oftalmologia Dr. Gama Pinto,"38.7218793, -9.144249",254153.0,25988.0,3053.0,2014,1
2014-01-01,Lisboa e Vale do Tejo,"Instituto Português de Oncologia de Lisboa, E. P. E.","38.7396768, -9.1634516",19806542.32,6986505.43,189349.56999999937,2014,1
2014-01-01,Norte,"Unidade Local de Saúde do Alto Minho, E. P. E.","41.7056054, -8.8252713",11186036.7,149183.46,0.0,2014,1
2014-01-01,Centro,"Unidade Local de Saúde de Castelo Branco, E. P. E.","39.8212263, -7.4981271",4060965.29,443211.2,13606.45,2014,1
2014-02-01,Lisboa e Vale do Tejo,"Instituto Português de Oncologia de Lisboa, E. P. E.","38.7396768, -9.1634516",21480831.27,8916550.03,1184051.06,2014,2
2014-02-01,Norte,Administração Regional de Saúde do Norte,"41.1576321, -8.6066408",95721014.52,16357029.48,7219239.3,2014,2
2014-02-01,Centro,"Centro Hospitalar de Leiria, E. P. E.","39.7414812, -8.7982706",6397522.51,895737.95,98094.43,2014,2
2014-02-01,Algarve,"Centro Hospitalar Universitário do Algarve, E.P.E","37.0238973, -7.9281554",48474613.0,35531980.0,31393970.0,2014,2
2014-02-01,Lisboa e Vale do Tejo,"Centro Hospitalar do Oeste, SPA","39.4054629, -9.1258493",5251626.78,4398290.95,2142291.39,2014,2
2014-02-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário Lisboa Norte, E. P. E.","38.7500861, -9.1616116",266687117.62,203243624.73,158585646.42,2014,2
2014-02-01,Lisboa e Vale do Tejo,"Centro Hospitalar Médio Tejo, E. P. E.","39.478072, -8.5404429",43440400.66,37175059.53,36431513.38,2014,2
2014-02-01,Norte,"Centro Hospitalar Vila Nova Gaia/Espinho, E. P. E.","41.1094138, -8.5972617",13059571.23,1063122.92,264655.15,2014,2
2014-02-01,Centro,Hospital Arcebispo João Crisóstomo - Cantanhede,"40.3470015, -8.5933462",79615.56,0.0,0.0,2014,2
2014-02-01,Centro,"Hospital Distrital Figueira da Foz, E. P. E.","40.117897, -8.8586755",5885345.89,4237788.24,2756611.86,2014,2
2014-02-01,Lisboa e Vale do Tejo,"Hospital Fernando Fonseca, E. P. E.","38.7422257, -9.2264834",18577441.37,1827317.3,198171.01,2014,2
2014-02-01,Norte,"Hospital Distrital S.Maria Maior, E. P. E. - Barcelos","41.5324234, -8.6171561",1209697.35,540881.63,0.0,2014,2
2014-02-01,Serviços Centrais,"Instituto Português Do Sangue e Da Transplantação, IP","38.7567758, -9.1505021",4095658.61,3226437.88,3226437.88,2014,2
2014-03-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário de Lisboa Central, E. P. E.","38.7166948, -9.1371248",156079585.53,116555539.28,72526516.9,2014,3
2014-03-01,Norte,"Centro Hospitalar Universitário de São João, E. P. E.","41.1831056, -8.6010558",34025705.83,23494142.09,17904.310000002384,2014,3
2014-03-01,Alentejo,"Hospital Espírito Santo de Évora, E. P. E.","38.5684861, -7.9032848",8960819.32,1441012.45,0.0,2014,3
2014-03-01,Serviços Centrais,Instituto Nacional Saúde Dr. Ricardo Jorge - Lisboa,"38.7643827, -9.1663422",143836.82,9392.42,0.0,2014,3
2014-03-01,Serviços Centrais,"Instituto Português Do Sangue e Da Transplantação, IP","38.7567758, -9.1505021",1559523.89,1255700.82,1255700.82,2014,3
2014-04-01,Lisboa e Vale do Tejo,"Centro Hospitalar de Lisboa - Zona Ocidental, E. P. E.","38.708454, -9.216985",74265819.95,53102130.56,34947099.08,2014,4
2014-04-01,Lisboa e Vale do Tejo,"Centro Hospitalar de Setúbal, E. P. E.","38.5283754, -8.8818638",88110463.86,78379393.68,69451210.98,2014,4
2014-04-01,Algarve,"Centro Hospitalar Universitário do Algarve, E.P.E","37.0238973, -7.9281554",51382787.0,36525818.0,29103459.0,2014,4
2014-04-01,Centro,"Centro Hospitalar do Baixo Vouga, E. P. E.","40.6362453, -8.6543716",48233909.41,39270319.43,34269001.31,2014,4
2014-04-01,Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, E. P. E.","41.3031784, -7.7515252",24550124.67,12386925.09,6091036.24,2014,4
2014-04-01,Centro,Hospital Arcebispo João Crisóstomo - Cantanhede,"40.3470015, -8.5933462",136923.52,1776.89,0.0,2014,4
2014-04-01,Norte,"Hospital Distrital S.Maria Maior, E. P. E. - Barcelos","41.5324234, -8.6171561",1174862.64,620108.78,0.0,2014,4
2014-04-01,Serviços Centrais,Instituto Nacional Saúde Dr. Ricardo Jorge - Lisboa,"38.7643827, -9.1663422",276314.02,71529.67,0.0,2014,4
2014-04-01,Alentejo,"Unidade Local de Saúde do Litoral Alentejano, E. P. E.","38.0162314, -8.6956768",4391348.47,3388061.32,377141.85,2014,4
2014-05-01,Lisboa e Vale do Tejo,"Instituto Português de Oncologia de Lisboa, E. P. E.","38.7396768, -9.1634516",24349818.33,15259028.96,4572744.58,2014,5
