regiao,instituicao,ano,mes,ebitda,gastos_operacionais,rendimentos_operacionais,resultado_liquido,resultados_operacionais,urgencias_geral,total_urgencias,doentes_saidos,dias_de_internamento,no_intervencoes_cirurgicas_programadas,no_intervencoes_cirurgicas_convencionais,no_intervencoes_cirurgicas_de_ambulatorio,no_intervencoes_cirurgicas_urgentes,no_de_consultas_medicas_total,no_de_primeiras_consultas,no_de_consultas_subsequentes,divida_total_fornecedores_externos,divida_vencida_fornecedores_externos,pagamentos_em_atraso,medicos_s_internos,medicos_internos,enfermeiros,tss,farmaceuticos,farmaceuticos_residentes,tdt,at,ao,tas,ao0,ts,informaticos,outros,total_geral,utentes_inscritos_csp,total_utentes_com_mdf_atribuido,total_utentes_com_mdf_atribuido0,total_utentes_sem_mdf_atribuido,total_utentes_sem_mdf_atribuido0,total_utentes_sem_mdf_atribuido_por_opcao,total_utentes_sem_mdf_atribuido_por_opcao0,taxa_de_utilizacao_consultas_medicas_1_ano_todos_os_utentes,taxa_de_utilizacao_consultas_medicas_1_ano_nos_utentes_sem_mdf,no_trabalhadores,taxa_de_utilizacao_global_de_consultas_medicas_1_ano,no_utentes_pelo_menos_1_consulta_medicas_presencial_ou_nao_presencial_1_ano,taxa_de_utilizacao_de_consultas_medicas_3_anos,no_utentes_com_pelo_menos_1_consulta_medica_em_3_anos,no_episodios_cirurgicos_ambulat_com_procedimentos_ambulatorizaveis,no_episodios_cirurgicos_ambulat_e_intern_com_proced_ambulatorizaveis,localizacao_geografica,tipo_instituicao
Alentejo,Administração Regional de Saúde do Alentejo,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19592349.91,11677606.83,9915.400000000373,114.0,35.0,191.0,18.0,0.0,0.0,23.0,182.0,99.0,0.0,0.0,0.0,0.0,85.0,747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755.0,0.0,0.0,0.0,0.0,0.0,0.0,"38.5658579, -7.9136262",Outro/SNS
Alentejo,Administração Regional de Saúde do Alentejo,2016,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20331314.62,13080621.65,7809.390000000596,115.0,32.0,190.0,18.0,0.0,0.0,23.0,184.0,99.0,0.0,0.0,0.0,0.0,85.0,746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754.0,0.0,0.0,0.0,0.0,0.0,0.0,"38.5658579, -7.9136262",Outro/SNS
Alentejo,Administração Regional de Saúde do Alentejo,2016,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21521352.96,14185670.92,31374.31000000052,115.0,32.0,190.0,18.0,0.0,0.0,23.0,185.0,99.0,0.0,0.0,0.0,0.0,85.0,747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755.0,0.0,0.0,0.0,0.0,0.0,0.0,"38.5658579, -7.9136262",Outro/SNS
Alentejo,Administração Regional de Saúde do Alentejo,2016,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21633079.5,14100789.03,5527543.17,114.0,32.0,190.0,18.0,0.0,0.0,23.0,182.0,97.0,0.0,0.0,0.0,0.0,89.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753.0,0.0,0.0,0.0,0.0,0.0,0.0,"38.5658579, -7.9136262",Outro/SNS
Alentejo,Administração Regional de Saúde do Alentejo,2016,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16276366.15,8400615.48,14176.760000000708,114.0,32.0,189.0,18.0,0.0,0.0,23.0,181.0,97.0,0.0,0.0,0.0,0.0,89.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,"38.5658579, -7.9136262",Outro/SNS
Alentejo,Administração Regional de Saúde do Alentejo,2016,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8283279.61,453992.55,5796.579999999958,115.0,30.0,189.0,18.0,0.0,0.0,23.0,181.0,96.0,0.0,0.0,0.0,0.0,90.0,742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,"38.5658579, -7.9136262",Outro/SNS
Alentejo,Administração Regional de Saúde do Alentejo,2016,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8242511.01,702366.09,13370.969999999972,115.0,30.0,189.0,18.0,0.0,0.0,23.0,182.0,96.0,0.0,0.0,0.0,0.0,90.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,"38.5658579, -7.9136262",Outro/SNS
Alentejo,Administração Regional de Saúde do Alentejo,2016,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8417711.55,711449.22,12516.150000000023,116.0,29.0,188.0,18.0,0.0,0.0,23.0,182.0,96.0,0.0,0.0,0.0,0.0,90.0,742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748.0,0.0,0.0,0.0,0.0,0.0,0.0,"38.5658579, -7.9136262",Outro/SNS
Alentejo,Administração Regional de Saúde do Alentejo,2016,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8145792.38,865281.09,15188.29999999993,114.0,29.0,188.0,18.0,0.0,0.0,23.0,182.0,95.0,0.0,0.0,0.0,0.0,88.0,737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,"38.5658579, -7.9136262",Outro/SNS
Alentejo,Administração Regional de Saúde do Alentejo,2016,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8250481.76,696506.72,121456.7,114.0,28.0,188.0,18.0,0.0,0.0,24.0,181.0,95.0,0.0,0.0,0.0,0.0,88.0,736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0.0,0.0,0.0,0.0,"38.5658579, -7.9136262",Outro/SNS
