tempo,regiao,encargos_sns_hospitalar,ano,mes
2011-06-01,Alentejo,2809763.96,2011,6
2011-11-01,Norte,26323622.319999997,2011,11
2012-02-01,Centro,13613446.789999995,2012,2
2012-07-01,Centro,13918187.51,2012,7
2012-11-01,Alentejo,2569867.54,2012,11
2013-01-01,Norte,28347134.27,2013,1
2014-08-01,Centro,12386263.71,2014,8
2014-12-01,Norte,22292043.21,2014,12
2015-07-01,Centro,19465103.98,2015,7
2015-09-01,Centro,18604360.61,2015,9
2017-01-01,Alentejo,3105928.789999999,2017,1
2017-03-01,Centro,18937056.35,2017,3
2017-11-01,Alentejo,3253939.8499999996,2017,11
2018-01-01,Norte,37963463.88,2018,1
2018-04-01,Alentejo,3114230.9299999997,2018,4
2018-06-01,Alentejo,3251318.71,2018,6
2018-07-01,Algarve,4093674.62,2018,7
2018-10-01,Alentejo,3702143.93,2018,10
2020-02-01,Alentejo,3049174.29,2020,2
2020-02-01,Algarve,2848607.94,2020,2
2020-07-01,Centro,21324526.5,2020,7
2021-06-01,Norte,48033418.23,2021,6
2021-09-01,Algarve,3856223.41,2021,9
2022-01-01,Centro,22970877.020000137,2022,1
2022-12-01,Alentejo,4166896.13,2022,12
2023-09-01,Lisboa e Vale do Tejo,69359469.73000011,2023,9
2024-02-01,Alentejo,4976812.870000001,2024,2
2024-03-01,Alentejo,4887276.380000001,2024,3
2024-09-01,Lisboa e Vale do Tejo,79888037.57999991,2024,9
2024-11-01,Centro,34490900.28000005,2024,11
2011-08-01,Norte,25610461.17,2011,8
2011-11-01,Algarve,2900624.76,2011,11
2012-02-01,Alentejo,2727153.6700000004,2012,2
2012-04-01,Alentejo,2651796.35,2012,4
2013-02-01,Alentejo,2623681.52,2013,2
2013-02-01,Centro,13243740.8,2013,2
2013-06-01,Centro,12548937.3,2013,6
2014-02-01,Norte,23981495.710000005,2014,2
2014-03-01,Algarve,2994448.0499999993,2014,3
2014-03-01,Norte,20956551.280000005,2014,3
2014-08-01,Norte,25217004.129999988,2014,8
2015-02-01,Alentejo,2570498.469999999,2015,2
2015-11-01,Norte,28900715.769999992,2015,11
2016-02-01,Algarve,4147587.77,2016,2
2016-02-01,Lisboa e Vale do Tejo,53305400.94,2016,2
2016-05-01,Norte,28785991.26,2016,5
2016-06-01,Lisboa e Vale do Tejo,51407261.45999999,2016,6
2016-11-01,Centro,18799309.91,2016,11
2017-06-01,Lisboa e Vale do Tejo,48232023.57,2017,6
2017-07-01,Norte,33225621.579999983,2017,7
2017-09-01,Lisboa e Vale do Tejo,48533284.91,2017,9
2018-02-01,Alentejo,2862884.3599999994,2018,2
2018-03-01,Lisboa e Vale do Tejo,49791424.76,2018,3
2018-06-01,Centro,18481979.99,2018,6
2018-12-01,Centro,15189862.09,2018,12
2019-02-01,Algarve,4042951.32,2019,2
2019-08-01,Algarve,3521525.24,2019,8
2019-10-01,Norte,47784078.69,2019,10
2020-02-01,Norte,38780489.87,2020,2
2020-10-01,Algarve,2392467.22,2020,10
2021-02-01,Centro,17997573.9,2021,2
2021-10-01,Alentejo,3796665.29,2021,10
2021-10-01,Algarve,3590586.1,2021,10
2021-10-01,Norte,48157425.1,2021,10
2021-11-01,Norte,50000742.13,2021,11
2023-11-01,Alentejo,5115007.789999995,2023,11
2024-10-01,Lisboa e Vale do Tejo,87820921.54999998,2024,10
2011-02-01,Algarve,3277668.06,2011,2
2011-02-01,Norte,25979188.479999993,2011,2
2011-11-01,Alentejo,2877248.6900000004,2011,11
2011-12-01,Centro,13905193.840000002,2011,12
2012-03-01,Alentejo,2877870.02,2012,3
2013-01-01,Alentejo,2818753.42,2013,1
2013-01-01,Algarve,3580096.19,2013,1
2013-03-01,Alentejo,2753796.41,2013,3
2013-07-01,Centro,14448528.460000005,2013,7
2013-10-01,Algarve,2743545.8,2013,10
2014-01-01,Algarve,2634824.4800000037,2014,1
2014-08-01,Lisboa e Vale do Tejo,33762809.139999986,2014,8
2014-09-01,Alentejo,2715235.139999998,2014,9
2015-01-01,Lisboa e Vale do Tejo,38137161.71,2015,1
2015-03-01,Centro,15110427.409999998,2015,3
2015-07-01,Norte,34116084.1,2015,7
2015-08-01,Lisboa e Vale do Tejo,52570581.28000001,2015,8
2016-04-01,Algarve,2250093.89,2016,4
