periodo,regiao,instituicao,localizacao_geografica,medicos_s_internos,medicos_internos,enfermeiros,tss,farmaceuticos,farmaceuticos_residentes,tdt,at,ao,tas,ao0,ts,informaticos,outros,total_geral,ano,mes
2014-12-01,Serviços Centrais,Ação Governativa,"38.7362218, -9.1463126",0.0,0.0,0.0,0.0,,,0.0,6.0,6.0,,,,,30.0,42.0,2014,12
2014-12-01,Serviços Centrais,"Administração Central do Sistema de Saúde, I.P.","38.7569402, -9.1494097",2.0,0.0,2.0,1.0,,,0.0,37.0,5.0,,,,,106.0,153.0,2014,12
2014-12-01,Alentejo,"Administração Regional de Saúde do Alentejo, I.P.","38.565715, -7.91162",112.0,22.0,179.0,18.0,,,26.0,185.0,99.0,,,,,87.0,728.0,2014,12
2015-03-01,Lisboa e Vale do Tejo,"Administração Regional de Saúde de Lisboa e Vale do Tejo, I.P.","38.748879, -9.139606",1756.0,706.0,2278.0,163.0,,,294.0,1805.0,726.0,,,,,392.0,8120.0,2015,3
2015-04-01,Lisboa e Vale do Tejo,"Administração Regional de Saúde de Lisboa e Vale do Tejo, I.P.","38.748879, -9.139606",1764.0,692.0,2279.0,163.0,,,294.0,1800.0,767.0,,,,,386.0,8145.0,2015,4
2015-04-01,Serviços Centrais,"Infarmed - Autoridade Nacional do Medicamento e Produtos de Saúde, I.P.","38.7582532, -9.1502867",1.0,0.0,0.0,7.0,,,2.0,80.0,6.0,,,,,250.0,346.0,2015,4
2015-05-01,Algarve,"Administração Regional de Saúde do Algarve, I.P.","37.027122, -7.946842",221.0,84.0,410.0,37.0,,,136.0,306.0,253.0,,,,,112.0,1559.0,2015,5
2015-05-01,Serviços Centrais,"Infarmed - Autoridade Nacional do Medicamento e Produtos de Saúde, I.P.","38.7582532, -9.1502867",1.0,0.0,0.0,7.0,,,2.0,81.0,6.0,,,,,262.0,359.0,2015,5
2015-06-01,Alentejo,"Administração Regional de Saúde do Alentejo, I.P.","38.565715, -7.91162",110.0,28.0,186.0,18.0,,,24.0,179.0,98.0,,,,,84.0,727.0,2015,6
2015-08-01,Serviços Centrais,Ação Governativa,"38.7362218, -9.1463126",0.0,0.0,0.0,0.0,,,0.0,6.0,6.0,,,,,30.0,42.0,2015,8
2015-08-01,Algarve,"Administração Regional de Saúde do Algarve, I.P.","37.027122, -7.946842",221.0,84.0,415.0,36.0,,,134.0,310.0,247.0,,,,,109.0,1556.0,2015,8
2015-08-01,Centro,"Administração Regional de Saúde do Centro, I.P.","40.203782, -8.419176",903.0,333.0,1140.0,74.0,,,151.0,999.0,525.0,,,,,235.0,4360.0,2015,8
2015-10-01,Serviços Centrais,"Administração Central do Sistema de Saúde, I.P.","38.7569402, -9.1494097",3.0,0.0,2.0,1.0,,,0.0,36.0,5.0,,,,,124.0,171.0,2015,10
2015-11-01,Centro,"Administração Regional de Saúde do Centro, I.P.","40.203782, -8.419176",934.0,291.0,1141.0,74.0,,,151.0,1014.0,509.0,,,,,235.0,4349.0,2015,11
