tempo,regiao,entidade,localizacao_geografica,modalidade_de_vinculacao,no_trabalhadores,ano,mes
2020-05-01,Centro,"Hospital Distrital da Figueira da Foz, E.P.E.","40.117897, -8.8586755",CT p/ tempo Indeterminado no âmbito Cód. Trabalho,320.0,2020,5
2020-05-01,Centro,"Hospital Distrital da Figueira da Foz, E.P.E.","40.117897, -8.8586755",CTR certo no âmbito do Código Trabalho,25.0,2020,5
2020-05-01,Centro,Hospital Dr. Francisco Zagalo,"40.8571967, -8.6318023",Nomeação Transitória p/ Tempo determinável,0.0,2020,5
2020-05-01,Centro,Hospital Dr. Francisco Zagalo,"40.8571967, -8.6318023",CT em Funções Públicas p/ Tempo Indeterminado,169.0,2020,5
2020-05-01,Centro,"Instituto Português Oncologia de Coimbra, E.P.E.","40.2162514, -8.4103814",Nomeação Transitória p/ Tempo determinado,0.0,2020,5
2020-05-01,Centro,"Instituto Português Oncologia de Coimbra, E.P.E.","40.2162514, -8.4103814",Nomeação Transitória p/ Tempo determinável,0.0,2020,5
2020-05-01,Centro,"Instituto Português Oncologia de Coimbra, E.P.E.","40.2162514, -8.4103814",CTR incerto no âmbito do Código Trabalho,24.0,2020,5
2020-05-01,Centro,"Instituto Português Oncologia de Coimbra, E.P.E.","40.2162514, -8.4103814",P. Serviços (Avenças),0.0,2020,5
2020-05-01,Centro,"Unidade Local de Saúde da Guarda, E.P.E.","40.5309916, -7.2734793",Nomeação Transitória p/ Tempo determinado,0.0,2020,5
2020-05-01,Centro,"Unidade Local de Saúde da Guarda, E.P.E.","40.5309916, -7.2734793",CT p/ tempo Indeterminado no âmbito Cód. Trabalho,776.0,2020,5
2020-05-01,Centro,"Unidade Local de Saúde da Guarda, E.P.E.","40.5309916, -7.2734793",P. Serviços (Tarefas),0.0,2020,5
2020-05-01,Centro,"Unidade Local de Saúde de Castelo Branco, E.P.E.","39.8212263, -7.4981271",Comissão de Serviço no âmbito do LTFP,6.0,2020,5
2020-05-01,Centro,"Unidade Local de Saúde de Castelo Branco, E.P.E.","39.8212263, -7.4981271",CTR incerto no âmbito do Código Trabalho,61.0,2020,5
2020-05-01,Centro,"Unidade Local de Saúde de Castelo Branco, E.P.E.","39.8212263, -7.4981271",P. Serviços (Tarefas),0.0,2020,5
2020-06-01,Lisboa e Vale do Tejo,"Administração Central do Sistema de Saúde, I.P.","38.7569402, -9.1494097",P. Serviços (Tarefas),0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Administração Regional Saúde Lisboa Vale Tejo, I.P.","38.748879, -9.139606",Nomeação Transitória p/ Tempo determinável,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Administração Regional Saúde Lisboa Vale Tejo, I.P.","38.748879, -9.139606",CT em Funções Públicas a Termo Resolutivo Certo,120.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Administração Regional Saúde Lisboa Vale Tejo, I.P.","38.748879, -9.139606",P. Serviços (Tarefas),0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Autoridade Nacional Medicamento Produtos de Saúde, I.P.","38.7582532, -9.1502867",Cargo Político / Mandato,2.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Autoridade Nacional Medicamento Produtos de Saúde, I.P.","38.7582532, -9.1502867",Nomeação Transitória p/ Tempo determinado,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Autoridade Nacional Medicamento Produtos de Saúde, I.P.","38.7582532, -9.1502867",CT em Funções Públicas a Termo Resolutivo Incerto,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Autoridade Nacional Medicamento Produtos de Saúde, I.P.","38.7582532, -9.1502867",CT p/ tempo Indeterminado no âmbito Cód. Trabalho,1.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,Ação Governativa - MS,"38.7362218, -9.1463126",Nomeação Transitória p/ Tempo determinável,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,Ação Governativa - MS,"38.7362218, -9.1463126",Comissão de Serviço no âmbito do Código Trabalho,1.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,Ação Governativa - MS,"38.7362218, -9.1463126",CT p/ tempo Indeterminado no âmbito Cód. Trabalho,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,Ação Governativa - MS,"38.7362218, -9.1463126",CTR incerto no âmbito do Código Trabalho,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Centro Hospitalar Barreiro/Montijo, E.P.E.","38.6554005, -9.0592392",Comissão de Serviço no âmbito do LTFP,5.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Centro Hospitalar Barreiro/Montijo, E.P.E.","38.6554005, -9.0592392",Comissão de Serviço no âmbito do Código Trabalho,5.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",Cargo Político / Mandato,2.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",Nomeação Transitória p/ Tempo determinável,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",CT em Funções Públicas p/ Tempo Indeterminado,540.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",CT em Funções Públicas a Termo Resolutivo Certo,16.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário Lisboa Central, E.P.E.","38.7166948, -9.1371248",P. Serviços (Tarefas),0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário de Lisboa Norte, E.P.E.","38.7500861, -9.1616116",Nomeação Transitória p/ Tempo determinado,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário de Lisboa Norte, E.P.E.","38.7500861, -9.1616116",CT em Funções Públicas a Termo Resolutivo Incerto,639.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Centro Hospitalar de Lisboa Ocidental, E.P.E.","38.708454, -9.216985",Cargo Político / Mandato,4.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Centro Hospitalar de Lisboa Ocidental, E.P.E.","38.708454, -9.216985",Nomeação Transitória p/ Tempo determinado,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Centro Hospitalar de Setúbal, E.P.E.","38.5283754, -8.8818638",Nomeação Transitória p/ Tempo determinado,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Centro Hospitalar de Setúbal, E.P.E.","38.5283754, -8.8818638",Nomeação Transitória p/ Tempo determinável,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Centro Hospitalar de Setúbal, E.P.E.","38.5283754, -8.8818638",CTR incerto no âmbito do Código Trabalho,72.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Centro Hospitalar de Setúbal, E.P.E.","38.5283754, -8.8818638",P. Serviços (Avenças),8.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Centro Hospitalar do Oeste, E.P.E.","39.4054629, -9.1258493",CT em Funções Públicas a Termo Resolutivo Incerto,99.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Centro Hospitalar do Oeste, E.P.E.","39.4054629, -9.1258493",Comissão de Serviço no âmbito do LTFP,17.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Centro Hospitalar do Oeste, E.P.E.","39.4054629, -9.1258493",Comissão de Serviço no âmbito do Código Trabalho,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Centro Hospitalar do Oeste, E.P.E.","39.4054629, -9.1258493",P. Serviços (Tarefas),0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,Direção-Geral da Saúde,"38.7364065, -9.1379161",CT em Funções Públicas p/ Tempo Indeterminado,116.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,Direção-Geral da Saúde,"38.7364065, -9.1379161",Comissão de Serviço no âmbito do Código Trabalho,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,Direção-Geral da Saúde,"38.7364065, -9.1379161",CTR certo no âmbito do Código Trabalho,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,Direção-Geral da Saúde,"38.7364065, -9.1379161",P. Serviços (Tarefas),0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Hospital Distrital de Santarém, E.P.E.","39.2410946, -8.6937515",CT em Funções Públicas a Termo Resolutivo Certo,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Hospital Distrital de Santarém, E.P.E.","39.2410946, -8.6937515",P. Serviços (Tarefas),60.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Hospital Professor Doutor Fernando Fonseca, E.P.E.","38.7422257, -9.2264834",Nomeação Transitória p/ Tempo determinado,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Hospital Professor Doutor Fernando Fonseca, E.P.E.","38.7422257, -9.2264834",CT em Funções Públicas a Termo Resolutivo Certo,1.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Hospital Professor Doutor Fernando Fonseca, E.P.E.","38.7422257, -9.2264834",CTR incerto no âmbito do Código Trabalho,100.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Hospital Garcia de Orta, E.P.E.","38.6658713, -9.1822554",Nomeação Transitória p/ Tempo determinável,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Hospital Garcia de Orta, E.P.E.","38.6658713, -9.1822554",CT em Funções Públicas a Termo Resolutivo Incerto,228.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Hospital Garcia de Orta, E.P.E.","38.6658713, -9.1822554",Comissão de Serviço no âmbito do LTFP,12.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Hospital Garcia de Orta, E.P.E.","38.6658713, -9.1822554",Comissão de Serviço no âmbito do Código Trabalho,12.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Hospital Garcia de Orta, E.P.E.","38.6658713, -9.1822554",CTR incerto no âmbito do Código Trabalho,65.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,Instituto Nacional de Emergência Médica,"38.731388, -9.142606",P. Serviços (Tarefas),299.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,Instituto Nacional de Emergência Médica,"38.731388, -9.142606",P. Serviços (Avenças),0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Instituto Nacional de Saúde Dr. Ricardo Jorge, I.P.","38.7643827, -9.1663422",CT em Funções Públicas a Termo Resolutivo Certo,11.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Instituto Nacional de Saúde Dr. Ricardo Jorge, I.P.","38.7643827, -9.1663422",CTR certo no âmbito do Código Trabalho,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Instituto Português Oncologia de Lisboa, E.P.E.","38.7396768, -9.1634516",Cargo Político / Mandato,3.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Instituto Português Oncologia de Lisboa, E.P.E.","38.7396768, -9.1634516",Nomeação Transitória p/ Tempo determinável,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Instituto Português do Sangue e da Transplantação, I.P.","38.7567758, -9.1505021",Cargo Político / Mandato,1.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Instituto Português do Sangue e da Transplantação, I.P.","38.7567758, -9.1505021",CT em Funções Públicas a Termo Resolutivo Incerto,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Instituto Português do Sangue e da Transplantação, I.P.","38.7567758, -9.1505021",Comissão de Serviço no âmbito do Código Trabalho,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Instituto Português do Sangue e da Transplantação, I.P.","38.7567758, -9.1505021",CT p/ tempo Indeterminado no âmbito Cód. Trabalho,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Instituto Português do Sangue e da Transplantação, I.P.","38.7567758, -9.1505021",P. Serviços (Avenças),7.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,Instituto de Oftalmologia Dr. Gama Pinto,"38.7218793, -9.144249",Nomeação Transitória p/ Tempo determinado,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,Instituto de Oftalmologia Dr. Gama Pinto,"38.7218793, -9.144249",Nomeação Transitória p/ Tempo determinável,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,Instituto de Oftalmologia Dr. Gama Pinto,"38.7218793, -9.144249",CT em Funções Públicas p/ Tempo Indeterminado,107.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,Instituto de Oftalmologia Dr. Gama Pinto,"38.7218793, -9.144249",CTR incerto no âmbito do Código Trabalho,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,Secretaria-Geral do Ministério da Saúde,"38.7362218, -9.1463126",CT em Funções Públicas a Termo Resolutivo Certo,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,Secretaria-Geral do Ministério da Saúde,"38.7362218, -9.1463126",CT em Funções Públicas a Termo Resolutivo Incerto,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,Secretaria-Geral do Ministério da Saúde,"38.7362218, -9.1463126",P. Serviços (Avenças),0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Serviços Partilhados do Ministério da Saúde, E.P.E.","38.739767, -9.1489431",Nomeação Transitória p/ Tempo determinado,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Serviços Partilhados do Ministério da Saúde, E.P.E.","38.739767, -9.1489431",Nomeação Transitória p/ Tempo determinável,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Serviços Partilhados do Ministério da Saúde, E.P.E.","38.739767, -9.1489431",Comissão de Serviço no âmbito do LTFP,0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,"Serviços Partilhados do Ministério da Saúde, E.P.E.","38.739767, -9.1489431",P. Serviços (Tarefas),0.0,2020,6
2020-06-01,Lisboa e Vale do Tejo,Serviço de Intervenção Comportamentos Aditivos e Dependências,"38.7653399, -9.1611815",CTR incerto no âmbito do Código Trabalho,0.0,2020,6
2020-06-01,Norte,"Administração Regional Saúde Norte, I.P.","41.157454, -8.604431",CT em Funções Públicas a Termo Resolutivo Incerto,846.0,2020,6
2020-06-01,Norte,"Centro Hospitalar Entre Douro e Vouga, E.P.E.","40.9293884, -8.5458794",CT em Funções Públicas p/ Tempo Indeterminado,329.0,2020,6
2020-06-01,Norte,"Centro Hospitalar Entre Douro e Vouga, E.P.E.","40.9293884, -8.5458794",CT em Funções Públicas a Termo Resolutivo Certo,0.0,2020,6
2020-06-01,Norte,"Centro Hospitalar Entre Douro e Vouga, E.P.E.","40.9293884, -8.5458794",CT em Funções Públicas a Termo Resolutivo Incerto,174.0,2020,6
2020-06-01,Norte,"Centro Hospitalar Entre Douro e Vouga, E.P.E.","40.9293884, -8.5458794",CT p/ tempo Indeterminado no âmbito Cód. Trabalho,1520.0,2020,6
