tempo,periodoformat2,regiao,instituicao,localizacao_geografica,urgencias_geral,urgencias_pediatricas,urgencia_obstetricia,urgencia_psiquiatrica,total_urgencias
2013-01,2013/01/01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",8247.0,,,,8247.0
2013-01,2013/01/01,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve,EPE","37.0238973, -7.9281554",12843.0,7032.0,862.0,,20737.0
2013-01,2013/01/01,Região de Saúde do Centro,"Hospital Distrital da Figueira da Foz, EPE","40.117897, -8.8586755",4821.0,2046.0,,,6867.0
2013-01,2013/01/01,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, EPE","39.8212263, -7.4981271",4220.0,1291.0,105.0,,5616.0
2013-02,2013/02/01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE","38.014123, -7.8721227",16895.0,3016.0,665.0,,20576.0
2013-02,2013/02/01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",15819.0,,,,15819.0
2013-02,2013/02/01,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",9789.0,3577.0,263.0,,13629.0
2013-02,2013/02/01,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE","38.6554005, -9.0592392",16649.0,6549.0,1565.0,,24763.0
2013-02,2013/02/01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE","39.478072, -8.5404429",21034.0,5421.0,442.0,,26897.0
2013-02,2013/02/01,Região de Saúde LVT,"Hospital de Loures, PPP","38.821455, -9.176296",20012.0,9668.0,1724.0,,31404.0
2013-02,2013/02/01,Região de Saúde Norte,"Centro Hospitalar Tâmega e Sousa, EPE","41.2494561, -8.264901",24041.0,8348.0,2045.0,,34434.0
2013-02,2013/02/01,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","41.3031784, -7.7515252",25196.0,4136.0,583.0,,29915.0
2013-02,2013/02/01,Região de Saúde Norte,"Hospital de Braga, PPP","41.56785, -8.398982",21098.0,7884.0,1887.0,,30869.0
2013-02,2013/02/01,Região de Saúde Norte,"Hospital Santa Maria Maior, EPE","41.5324234, -8.6171561",8515.0,4755.0,,,13270.0
2013-03,2013/03/01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE","39.3003425, -7.4263845",20568.0,3062.0,253.0,,23883.0
2013-03,2013/03/01,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve,EPE","37.0238973, -7.9281554",37065.0,20211.0,2459.0,,59735.0
2013-03,2013/03/01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629, -9.1258493",38163.0,15138.0,3219.0,,56520.0
2013-03,2013/03/01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP","38.977235, -8.984506",18038.0,7761.0,1244.0,,27043.0
2013-03,2013/03/01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE","39.2410946, -8.6937515",20252.0,9883.0,2110.0,,32245.0
2013-03,2013/03/01,Região de Saúde Norte,"Centro Hospitalar Universitário de São João, EPE","41.1831056, -8.6010558",47097.0,20082.0,3394.0,,70573.0
2013-03,2013/03/01,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","41.3031784, -7.7515252",38229.0,5947.0,898.0,,45074.0
2013-03,2013/03/01,Região de Saúde Norte,"Hospital de Braga, PPP","41.56785, -8.398982",31910.0,11283.0,2827.0,,46020.0
2013-03,2013/03/01,Região de Saúde Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",31940.0,,,,31940.0
2013-04,2013/04/01,Região de Saúde do Centro,"Centro Hospitalar de Leiria, EPE","39.7414812, -8.7982706",40340.0,15106.0,3301.0,,58747.0
2013-04,2013/04/01,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453, -8.6543716",43509.0,12539.0,1891.0,,57939.0
2013-04,2013/04/01,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE","38.6554005, -9.0592392",33785.0,13071.0,3126.0,,49982.0
2013-04,2013/04/01,Região de Saúde LVT,"Hospital de Loures, PPP","38.821455, -9.176296",40171.0,18616.0,3559.0,,62346.0
2013-04,2013/04/01,Região de Saúde Norte,"Centro Hospitalar do Médio Ave, EPE","41.3423984, -8.4802503",31064.0,11775.0,1355.0,,44194.0
2013-04,2013/04/01,Região de Saúde Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.1794456, -8.6745115",23836.0,,2534.0,,26370.0
2013-05,2013/05/01,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",21289.0,9060.0,,,30349.0
2013-05,2013/05/01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",38768.0,,,,38768.0
2013-05,2013/05/01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523, -8.4098211",83646.0,27582.0,11309.0,,122537.0
2013-05,2013/05/01,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916, -7.2734793",29297.0,5528.0,1548.0,,36373.0
2013-05,2013/05/01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE","39.478072, -8.5404429",52426.0,13068.0,1092.0,,66586.0
2013-05,2013/05/01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE","38.6658713, -9.1822554",35881.0,18566.0,6841.0,,61288.0
2013-05,2013/05/01,Região de Saúde Norte,"Centro Hospitalar do Médio Ave, EPE","41.3423984, -8.4802503",39092.0,14749.0,1724.0,,55565.0
2013-05,2013/05/01,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","41.3031784, -7.7515252",63515.0,9261.0,1460.0,,74236.0
2013-05,2013/05/01,Região de Saúde Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","41.1094138, -8.5972617",47087.0,19367.0,4767.0,,71221.0
2013-06,2013/06/01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE","39.3003425, -7.4263845",41357.0,5660.0,521.0,,47538.0
2013-06,2013/06/01,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve,EPE","37.0238973, -7.9281554",75317.0,39057.0,5092.0,,119466.0
2013-06,2013/06/01,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",30015.0,9979.0,798.0,,40792.0
2013-06,2013/06/01,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453, -8.6543716",64381.0,19346.0,2816.0,,86543.0
2013-06,2013/06/01,Região de Saúde do Centro,"Hospital Distrital da Figueira da Foz, EPE","40.117897, -8.8586755",26201.0,9974.0,,,36175.0
2013-06,2013/06/01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE","38.708454, -9.216985",55336.0,18036.0,7282.0,,80654.0
2013-06,2013/06/01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629, -9.1258493",74323.0,28052.0,6424.0,,108799.0
2013-06,2013/06/01,Região de Saúde Norte,"Centro Hospitalar do Médio Ave, EPE","41.3423984, -8.4802503",46771.0,17237.0,2104.0,,66112.0
2013-06,2013/06/01,Região de Saúde Norte,"Centro Hospitalar Tâmega e Sousa, EPE","41.2494561, -8.264901",70845.0,21150.0,6343.0,,98338.0
2013-06,2013/06/01,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","41.3031784, -7.7515252",76089.0,10898.0,1707.0,,88694.0
2013-07,2013/07/01,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453, -8.6543716",75849.0,22387.0,3362.0,,101598.0
2013-07,2013/07/01,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364, -8.0827433",72671.0,21077.0,8229.0,,101977.0
2013-07,2013/07/01,Região de Saúde do Centro,"Hospital Distrital da Figueira da Foz, EPE","40.117897, -8.8586755",31090.0,11638.0,,,42728.0
