tempo,regiao,instituicao,localizacao_geografica,no_episodios_cirurgicos_ambulat_com_procedimentos_ambulatorizaveis,no_episodios_cirurgicos_ambulat_e_intern_com_proced_ambulatorizaveis,cir_ambulatorio_gdh_para_procedimentos_ambulatorizaveis
2013-01,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",25,81,30.9
2013-01,Região de Saúde do Centro,"Hospital Distrital da Figueira da Foz, EPE","40.117897, -8.8586755",84,137,61.3
2013-01,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916, -7.2734793",109,146,74.7
2013-01,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE","38.6554005, -9.0592392",107,135,79.3
2013-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE","39.478072, -8.5404429",159,222,71.6
2013-01,Região de Saúde LVT,"Hospital de Loures, PPP","38.821455, -9.176296",198,240,82.5
2013-01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP","38.977235, -8.984506",197,231,85.3
2013-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE","38.6658713, -9.1822554",233,286,81.5
2013-01,Região de Saúde LVT,Instituto Gama Pinto,"38.7218793, -9.144249",152,152,100.0
2013-01,Região de Saúde Norte,"Unidade Local de Saúde do Alto Minho, EPE","41.7056054, -8.8252713",385,482,79.9
2013-01,Região de Saúde Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",154,213,72.3
2013-02,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",406,522,77.8
2013-02,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE","38.014123, -7.8721227",219,293,74.7
2013-02,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",190,235,80.9
2013-02,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE","38.6554005, -9.0592392",206,262,78.6
2013-02,Região de Saúde LVT,Centro Hospitalar do Oeste,"39.4054629, -9.1258493",167,289,57.8
2013-02,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE","39.2410946, -8.6937515",277,381,72.7
2013-02,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE","38.7422257, -9.2264834",572,898,63.7
2013-02,Região de Saúde LVT,"Hospital Garcia de Orta, EPE","38.6658713, -9.1822554",434,537,80.8
2013-02,Região de Saúde Norte,"Centro Hospitalar Universitário do Porto, EPE","41.1472498, -8.6172617",985,1215,81.1
2013-02,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","41.3031784, -7.7515252",2,57,3.5
2013-03,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",581,778,74.7
2013-03,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",212,289,73.4
2013-03,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",71,195,36.4
2013-03,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523, -8.4098211",1539,2086,73.8
2013-03,Região de Saúde do Centro,Hospital José Luciano de Castro,"40.4422767, -8.4438729",55,55,100.0
2013-03,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE","38.5283754, -8.8818638",302,477,63.3
2013-03,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE","39.478072, -8.5404429",395,581,68.0
2013-03,Região de Saúde Norte,"Centro Hospitalar Universitário de São João, EPE","41.1831056, -8.6010558",1764,2317,76.1
2013-03,Região de Saúde Norte,"Centro Hospitalar Entre Douro e Vouga, EPE","40.9293884, -8.5458794",910,1233,73.8
