tempo,regiao,encargos_sns_hospitalar
2011-01,Algarve,3480241.41
2011-02,Lisboa e Vale do Tejo,38689777.32999999
2013-01,Lisboa e Vale do Tejo,41423750.34
2013-07,Alentejo,2849299.56
2014-03,Lisboa e Vale do Tejo,36887664.83000004
2014-05,Algarve,3076235.3599999985
2014-11,Lisboa e Vale do Tejo,33166965.159999996
2015-01,Algarve,3116593.32
2015-04,Norte,31969947.54
2015-10,Norte,31568093.84
2016-05,Centro,17141237.4
2016-05,Lisboa e Vale do Tejo,52800316.46999999
2017-06,Norte,34863866.28
2018-10,Centro,18738310.08
2019-05,Lisboa e Vale do Tejo,49640622.94
2019-06,Lisboa e Vale do Tejo,43628814.61
2019-07,Algarve,4052129.75
2019-10,Alentejo,3859915.77
2019-10,Lisboa e Vale do Tejo,51438029.35
2019-11,Centro,17025303.9
2020-10,Alentejo,3877761.19
2022-06,Lisboa e Vale do Tejo,65160866.750000365
2023-07,Norte,63685138.27999977
2024-08,Lisboa e Vale do Tejo,82847979.6800006
2011-01,Alentejo,2774186.44
2011-05,Centro,14960277.73
2011-11,Centro,14750586.180000002
2012-06,Algarve,3204407.93
2014-04,Lisboa e Vale do Tejo,36617022.36999999
2014-06,Alentejo,2594740.9199999985
2014-07,Centro,14131177.31
2014-07,Lisboa e Vale do Tejo,38097723.63999999
2014-07,Norte,28626752.37000001
2014-09,Algarve,3056358.4900000044
2015-05,Alentejo,3007233.01
2015-05,Lisboa e Vale do Tejo,50110101.32
2015-06,Lisboa e Vale do Tejo,54757957.31
2015-08,Alentejo,2894738.03
2015-11,Centro,17355125.699999996
2016-04,Norte,32136192.08
2016-07,Lisboa e Vale do Tejo,49925859.2
2017-04,Algarve,3808051.43
2019-01,Lisboa e Vale do Tejo,50443809.93
2019-08,Lisboa e Vale do Tejo,47473076.05
2019-09,Lisboa e Vale do Tejo,46110832.68
2020-04,Algarve,3728111.03
2020-06,Lisboa e Vale do Tejo,48736467.48
2020-12,Lisboa e Vale do Tejo,47203212.83
2021-04,Centro,21244453.7
2022-04,Centro,23490283.26999996
2022-10,Centro,23742530.429999974
2022-11,Algarve,3147467.910000001
2023-03,Norte,62151020.12000008
2023-06,Centro,26627280.729999907
2023-07,Centro,27146029.719999947
2023-08,Lisboa e Vale do Tejo,76641604.40000023
2023-09,Norte,59791306.61999975
2023-10,Lisboa e Vale do Tejo,75398009.83999991
2023-11,Centro,30151687.73000004
2024-05,Centro,32465597.950000063
2024-07,Algarve,6991767.209999995
2020-09,Alentejo,3325495.79
2020-12,Algarve,2264286.63
2023-03,Alentejo,4661390.389999996
2011-07,Algarve,3313197.38
2012-05,Alentejo,2806247.41
2012-05,Algarve,3588896.35
2013-04,Centro,13929707.72
2013-08,Alentejo,2559895.74
2013-08,Lisboa e Vale do Tejo,34962710.379999995
2015-02,Lisboa e Vale do Tejo,36157766.150000006
2015-06,Alentejo,3637389.07
2015-09,Algarve,4562068.57
2015-12,Alentejo,2814658.8599999994
2016-06,Centro,17541496.69
2016-10,Alentejo,3419934.3
2016-11,Norte,34834715.2
2018-05,Lisboa e Vale do Tejo,47577542.39999999
2018-08,Alentejo,3310296.940000001
2018-11,Lisboa e Vale do Tejo,46053602.11
2019-01,Alentejo,3283139.22
2019-03,Algarve,4278737.37
2019-03,Lisboa e Vale do Tejo,45669304.82
2019-06,Centro,17493968.72
2019-07,Norte,36507272.64
2019-11,Norte,36337846.56
2020-08,Algarve,2651616.9
2021-01,Centro,19304615.54
2021-05,Lisboa e Vale do Tejo,56775202.56
2021-12,Alentejo,4012024.15
2022-09,Algarve,5457850.509999997
2023-04,Algarve,4709137.070000002
2023-08,Centro,28541947.569999974
2023-10,Alentejo,5130781.950000001
2023-12,Alentejo,4650375.530000001
2024-02,Norte,59566075.109999865
2011-04,Algarve,2998329.86
2012-04,Lisboa e Vale do Tejo,40209737.22
2013-08,Algarve,2917441.68
2014-12,Lisboa e Vale do Tejo,35089324.66000003
2016-01,Lisboa e Vale do Tejo,51293335.73999998
2017-02,Alentejo,2677726.04
2018-02,Centro,17638697.79
2019-09,Norte,39490999.64
2024-12,Norte,16282501.000000322
2012-01,Algarve,3482607.05
2021-01,Alentejo,3649562.08
2021-04,Norte,52530198.55
2022-03,Centro,22273017.389999997
2022-09,Lisboa e Vale do Tejo,68204309.58999997
2024-01,Algarve,5999947.609999996
2024-02,Centro,27914664.279999983
2011-04,Norte,25400964.56000001
2011-07,Centro,13959358.04
2011-07,Lisboa e Vale do Tejo,41101050.21000001
2011-10,Alentejo,2745589.55
2011-12,Algarve,2554969.34
2013-07,Lisboa e Vale do Tejo,39246541.99
2013-10,Lisboa e Vale do Tejo,36969830.86
2016-01,Alentejo,2687096.56
2016-07,Centro,15546849.169999998
2016-10,Algarve,2805019.4
2018-04,Centro,17584232.65
2018-08,Norte,36118924.15
2019-10,Centro,19463427.02
2019-12,Centro,15181345.68
2022-03,Alentejo,3953658.27
2022-08,Lisboa e Vale do Tejo,66978314.42999964
2023-12,Algarve,4294198.990000001
2024-07,Centro,34405130.3500001
2024-11,Algarve,3751555.159999998
2021-07,Algarve,3801319.31
2023-07,Algarve,5179026.190000002
2023-09,Alentejo,4865308.339999997
2011-06,Norte,25346502.94
2011-10,Lisboa e Vale do Tejo,39599581.88
2012-04,Centro,13086764.24
2012-08,Alentejo,2756917.1
2012-10,Alentejo,2937089.04
2012-12,Lisboa e Vale do Tejo,37692366.18
2013-04,Lisboa e Vale do Tejo,40164544.11999999
2015-09,Norte,28276559.679999992
2016-03,Norte,29654022.55999999
2016-05,Algarve,3280580.34
2016-07,Algarve,3523277.2
2017-02,Norte,32336075.710000023
2017-12,Alentejo,2878075.04
2018-08,Algarve,4423281.27
2019-01,Centro,20320220.49
2019-01,Norte,39400796.78
2019-02,Lisboa e Vale do Tejo,45946000.4
2019-04,Centro,19428920.28
2019-05,Norte,42680352.42
2020-07,Lisboa e Vale do Tejo,56657617.78
2020-09,Lisboa e Vale do Tejo,50641742.6
2020-11,Norte,44026672.86
2020-12,Alentejo,3590752.65
2021-01,Lisboa e Vale do Tejo,51806860.46
2021-02,Alentejo,3353322.83
2021-03,Algarve,4826844.28
2021-06,Lisboa e Vale do Tejo,56006245.56
2021-08,Alentejo,3717166.7
2022-02,Alentejo,3514627.679999992
2022-05,Norte,59426477.239999935
2022-12,Algarve,1209594.3100000012
2022-12,Norte,12466878.36
2023-01,Alentejo,4616836.780000003
2024-01,Norte,72642682.61999986
2024-10,Algarve,6617118.630000001
2024-11,Alentejo,5418716.719999999
2011-01,Centro,14782195.77
2011-05,Alentejo,2820105.68
2011-06,Lisboa e Vale do Tejo,39749575.81
2011-07,Norte,25782289.18
2012-01,Lisboa e Vale do Tejo,40044250.47
2012-12,Norte,21206816.13
2013-04,Algarve,3211674.59
2013-05,Algarve,3079230.08
2013-10,Alentejo,2856375.97
2014-03,Alentejo,2608181.38
2014-05,Lisboa e Vale do Tejo,36072101.74000001
2015-09,Alentejo,2922502.530000001
2015-10,Alentejo,2915743.1
2016-03,Centro,18265506.04
2016-09,Alentejo,3446513.43
2017-05,Centro,16935553.39
2017-06,Centro,16833213.15
2017-08,Algarve,4100171.37
