periodo,regiao,instituicao,localizacao_geografica,medicos_s_internos,medicos_internos,enfermeiros,tss,farmaceuticos,farmaceuticos_residentes,tdt,at,ao,tas,ao0,ts,informaticos,outros,total_geral
2015-01,Serviços Centrais,Ação Governativa,"38.7362218, -9.1463126",0.0,0.0,0.0,0.0,,,0.0,6.0,6.0,,,,,30.0,42
2015-01,Serviços Centrais,"Infarmed - Autoridade Nacional do Medicamento e Produtos de Saúde, I.P.","38.7582532, -9.1502867",1.0,0.0,0.0,7.0,,,2.0,82.0,7.0,,,,,264.0,363
2015-02,Serviços Centrais,Ação Governativa,"38.7362218, -9.1463126",0.0,0.0,0.0,0.0,,,0.0,6.0,6.0,,,,,32.0,44
2015-02,Serviços Centrais,"Administração Central do Sistema de Saúde, I.P.","38.7569402, -9.1494097",0.0,0.0,2.0,1.0,,,0.0,37.0,4.0,,,,,109.0,153
2015-02,Região de Saúde do Centro,"Administração Regional de Saúde do Centro, I.P.","40.203782, -8.419176",900.0,347.0,1130.0,73.0,,,153.0,1000.0,535.0,,,,,233.0,4371
2015-03,Serviços Centrais,Ação Governativa,"38.7362218, -9.1463126",0.0,0.0,0.0,0.0,,,0.0,6.0,6.0,,,,,32.0,44
2015-03,Região de Saúde Norte,"Administração Regional de Saúde do Norte, I.P.","41.157454, -8.604431",1764.0,890.0,2588.0,139.0,,,188.0,1875.0,874.0,,,,,419.0,8737
2015-04,Serviços Centrais,Ação Governativa,"38.7362218, -9.1463126",0.0,0.0,0.0,0.0,,,0.0,6.0,6.0,,,,,32.0,44
2015-04,Serviços Centrais,"Administração Central do Sistema de Saúde, I.P.","38.7569402, -9.1494097",3.0,0.0,2.0,1.0,,,0.0,37.0,5.0,,,,,101.0,149
2015-04,Região de Saúde do Alentejo,"Administração Regional de Saúde do Alentejo, I.P.","38.565715, -7.91162",110.0,29.0,178.0,18.0,,,24.0,179.0,97.0,,,,,85.0,720
2015-04,Região de Saúde Norte,"Administração Regional de Saúde do Norte, I.P.","41.157454, -8.604431",1810.0,851.0,2589.0,139.0,,,190.0,1879.0,876.0,,,,,416.0,8750
2015-07,Região de Saúde do Centro,"Administração Regional de Saúde do Centro, I.P.","40.203782, -8.419176",911.0,335.0,1141.0,75.0,,,152.0,1000.0,527.0,,,,,236.0,4377
2015-08,Região de Saúde do Alentejo,"Administração Regional de Saúde do Alentejo, I.P.","38.565715, -7.91162",112.0,28.0,190.0,18.0,,,24.0,179.0,98.0,,,,,83.0,732
2015-09,Região de Saúde Norte,"Administração Regional de Saúde do Norte, I.P.","41.157454, -8.604431",1824.0,800.0,2604.0,140.0,,,190.0,1892.0,870.0,,,,,423.0,8743
2015-11,Serviços Centrais,"Administração Central do Sistema de Saúde, I.P.","38.7569402, -9.1494097",3.0,0.0,2.0,1.0,,,0.0,36.0,5.0,,,,,124.0,171
2015-11,Região de Saúde do Alentejo,"Administração Regional de Saúde do Alentejo, I.P.","38.565715, -7.91162",114.0,26.0,192.0,18.0,,,24.0,181.0,99.0,,,,,85.0,739
2015-12,Região de Saúde do Alentejo,"Administração Regional de Saúde do Alentejo, I.P.","38.565715, -7.91162",114.0,26.0,191.0,18.0,,,23.0,182.0,99.0,,,,,85.0,738
2016-02,Região de Saúde do Algarve,"Administração Regional de Saúde do Algarve, I.P.","37.027122, -7.946842",233.0,94.0,416.0,35.0,,,144.0,313.0,243.0,,,,,109.0,1587
2016-03,Serviços Centrais,"Administração Central do Sistema de Saúde, I.P.","38.7569402, -9.1494097",3.0,0.0,2.0,1.0,,,0.0,32.0,6.0,,,,,145.0,189
2016-04,Região de Saúde LVT,"Administração Regional de Saúde de Lisboa e Vale do Tejo, I.P.","38.748879, -9.139606",1787.0,727.0,2467.0,165.0,,,298.0,1792.0,748.0,,,,,387.0,8371
2016-05,Região de Saúde Norte,"Administração Regional de Saúde do Norte, I.P.","41.157454, -8.604431",1927.0,853.0,2636.0,138.0,,,193.0,1935.0,837.0,,,,,422.0,8941
2016-06,Região de Saúde Norte,"Administração Regional de Saúde do Norte, I.P.","41.157454, -8.604431",1927.0,851.0,2641.0,138.0,,,192.0,1934.0,833.0,,,,,423.0,8939
2016-07,Serviços Centrais,"Administração Central do Sistema de Saúde, I.P.","38.7569402, -9.1494097",3.0,0.0,2.0,1.0,,,0.0,33.0,6.0,,,,,147.0,192
2016-07,Região de Saúde do Algarve,"Administração Regional de Saúde do Algarve, I.P.","37.027122, -7.946842",232.0,93.0,423.0,35.0,,,145.0,316.0,239.0,,,,,110.0,1593
2016-07,Região de Saúde do Centro,"Administração Regional de Saúde do Centro, I.P.","40.203782, -8.419176",935.0,350.0,1228.0,74.0,,,150.0,1027.0,494.0,,,,,235.0,4493
2016-08,Serviços Centrais,Ação Governativa,"38.7362218, -9.1463126",0.0,0.0,0.0,0.0,,,0.0,6.0,6.0,,,,,23.0,35
