periodo,ars,aces,localizacao_geografica,utentes_inscritos_csp,total_utentes_com_mdf_atribuido,total_utentes_com_mdf_atribuido0,total_utentes_sem_mdf_atribuido,total_utentes_sem_mdf_atribuido0,total_utentes_sem_mdf_atribuido_por_opcao,total_utentes_sem_mdf_atribuido_por_opcao0,taxa_de_utilizacao_consultas_medicas_1_ano_todos_os_utentes,taxa_de_utilizacao_consultas_medicas_1_ano_nos_utentes_sem_mdf
2016-01,Algarve,ACES Algarve Barlavento,"37.1387554, -8.5445093",159567,104459,65.46,54259,34.0,849,0.53,61.0193,48.4986
2016-01,Centro,ACES Baixo Mondego,"40.2150023, -8.4071805",383001,366903,95.8,14351,3.75,1747,0.46,60.1099,24.7643
2016-01,Centro,ACES Beira Interior Sul,"39.8211367, -7.5036651",73751,71872,97.45,1420,1.93,459,0.62,69.0399,26.9402
2016-01,Centro,ACES Guarda,"40.5353285, -7.2724426",152281,141859,93.16,9100,5.98,1322,0.87,71.9567,53.6963
2016-01,Lisboa e Vale do Tejo,ACES Almada / Seixal,"38.6678522, -9.1875777",340054,282078,82.95,57316,16.85,660,0.19,64.4227,36.8498
2016-01,Lisboa e Vale do Tejo,ACES Arco Ribeirinho,"38.6672076, -9.0543329",217675,158809,72.96,58718,26.98,148,0.07,59.5599,42.334
2016-01,Lisboa e Vale do Tejo,ACES Arrábida,"38.5324373, -8.8627453",222693,165150,74.16,57036,25.61,507,0.23,61.8151,41.3001
2016-01,Lisboa e Vale do Tejo,ACES Lisboa Central,"38.7306317, -9.1510414",275813,226451,82.1,48344,17.53,1018,0.37,54.3101,34.7847
2016-01,Norte,ACES Aveiro Norte,"40.8472225, -8.4656674",116386,114492,98.37,1825,1.57,69,0.06,74.1571,40.0868
2016-01,Norte,ACES Espinho / Gaia,"41.0022421, -8.642018",184704,183152,99.16,1517,0.82,35,0.02,75.4992,56.0822
2016-01,Norte,ACES Maia / Valongo,"41.2333945, -8.6187474",215070,214110,99.55,798,0.37,162,0.08,72.8153,19.3887
2016-01,Norte,ACES Nordeste,"41.8069684, -6.7587977",134067,129253,96.41,4128,3.08,686,0.51,75.375,54.1863
2016-01,Norte,ACES Póvoa do Varzim / Vila do Conde,"41.355519, -8.746653",148562,145076,97.65,3475,2.34,11,0.01,74.8427,70.2756
2016-01,Norte,ACES Vale do Sousa Norte,"41.2793583, -8.2787457",160199,158019,98.64,2109,1.32,71,0.04,75.5994,59.6609
2016-02,Centro,ACES Dão Lafões,"40.6565861, -7.9124712",271952,258134,94.92,13441,4.94,377,0.14,69.2817,38.5994
2016-02,Centro,ACES Guarda,"40.5353285, -7.2724426",152263,142087,93.32,8850,5.81,1326,0.87,72.3345,54.8238
2016-02,Centro,ACES Pinhal Interior Norte,"40.1151262, -8.2473136",130502,121604,93.18,8227,6.3,671,0.51,77.5488,29.3754
2016-02,Centro,ACES Pinhal Litoral,"39.7495331, -8.807683",264309,239217,90.51,24559,9.29,533,0.2,68.0785,49.9579
2016-02,Lisboa e Vale do Tejo,ACES Almada / Seixal,"38.6678522, -9.1875777",340770,284145,83.38,55918,16.41,707,0.21,64.7047,36.9741
2016-02,Lisboa e Vale do Tejo,ACES Amadora,"38.7573081, -9.23429",166842,127794,76.6,38840,23.28,208,0.12,58.1171,36.9327
2016-02,Lisboa e Vale do Tejo,ACES Arrábida,"38.5324373, -8.8627453",223069,165071,74.0,57484,25.77,514,0.23,62.1419,41.5948
2016-02,Lisboa e Vale do Tejo,ACES Médio Tejo,"39.478072, -8.5404429",225711,194350,86.11,30838,13.66,523,0.23,70.0475,52.3485
2016-02,Norte,ACES Ave / Famalicão,"41.3835805, -8.4157518",124135,119268,96.08,4824,3.89,43,0.03,73.6506,38.773
2016-02,Norte,ACES Douro Sul,"41.0953745, -7.8123805",74471,64841,87.07,9294,12.48,336,0.45,75.5623,64.4309
2016-02,Norte,ACES Matosinhos,"41.1918541, -8.6590693",172594,170293,98.67,1876,1.09,425,0.25,74.8402,26.9366
2016-02,Norte,ACES Vale do Sousa Norte,"41.2793583, -8.2787457",160528,157311,98.0,3171,1.98,46,0.03,75.8435,48.4375
2016-03,Algarve,ACES Algarve Central,"37.0274264, -7.9395984",238578,190165,79.71,47436,19.88,977,0.41,57.5846,36.1729
2016-03,Centro,ACES Baixo Vouga,"40.6405055, -8.6537539",382480,369028,96.48,11553,3.02,1899,0.5,72.018,37.8515
2016-03,Centro,ACES Pinhal Interior Sul,"39.7510898, -7.9203657",31349,30816,98.3,191,0.61,342,1.09,80.1189,27.5862
2016-03,Centro,ACES Pinhal Litoral,"39.7495331, -8.807683",264547,239490,90.53,24498,9.26,559,0.21,67.7365,53.2624
2016-03,Lisboa e Vale do Tejo,ACES Almada / Seixal,"38.6678522, -9.1875777",341266,284239,83.29,56301,16.5,726,0.21,64.2595,40.5033
2016-03,Lisboa e Vale do Tejo,ACES Estuário do Tejo,"38.9528113, -8.9911154",224996,155775,69.23,68103,30.27,1118,0.5,57.7126,42.0353
2016-03,Lisboa e Vale do Tejo,ACES Lezíria,"39.2371689, -8.6908895",194028,158066,81.47,35415,18.25,547,0.28,69.0776,50.5903
2016-03,Norte,ACES Alto Minho,"41.7056054, -8.8252713",246648,244910,99.3,1259,0.51,479,0.19,76.0719,22.8837
2016-03,Norte,ACES Ave / Famalicão,"41.3835805, -8.4157518",124157,119592,96.32,4521,3.64,44,0.04,73.5575,31.6978
2016-03,Norte,ACES Braga,"41.5518714, -8.4126362",183999,181147,98.45,2851,1.55,1,0.0,74.3615,69.5735
2016-03,Norte,ACES Espinho / Gaia,"41.0022421, -8.642018",185021,183616,99.24,1348,0.73,57,0.03,75.3599,55.6113
2016-03,Norte,ACES Gaia,"41.1278433, -8.580396",151875,151263,99.6,547,0.36,65,0.04,71.0825,23.9847
2016-03,Norte,ACES Nordeste,"41.8069684, -6.7587977",134064,130027,96.99,3330,2.48,707,0.53,75.3147,53.7482
2016-04,Alentejo,ACES Alentejo Central,"38.8442031, -7.5826619",167085,165673,99.15,1309,0.78,103,0.06,75.9221,58.7857
2016-04,Centro,ACES Baixo Vouga,"40.6405055, -8.6537539",382746,369294,96.49,11490,3.0,1962,0.51,72.018,37.8515
2016-04,Lisboa e Vale do Tejo,ACES Almada / Seixal,"38.6678522, -9.1875777",341844,276252,80.81,64856,18.97,736,0.22,64.2595,40.5033
2016-04,Lisboa e Vale do Tejo,ACES Arco Ribeirinho,"38.6672076, -9.0543329",218664,155686,71.2,62835,28.74,143,0.07,59.4543,43.9891
2016-04,Lisboa e Vale do Tejo,ACES Cascais,"38.69904, -9.3818008",196213,150667,76.79,45376,23.13,170,0.09,53.4067,28.8416
2016-04,Lisboa e Vale do Tejo,ACES Lisboa Central,"38.7306317, -9.1510414",277646,223787,80.6,52828,19.03,1031,0.37,54.0848,36.7575
2016-04,Lisboa e Vale do Tejo,ACES Lisboa Norte,"38.7396924, -9.168506",253723,213453,84.13,39929,15.74,341,0.13,56.3325,26.5566
2016-04,Norte,ACES Alto Minho,"41.7056054, -8.8252713",246695,244943,99.29,1264,0.51,488,0.2,76.0719,22.8837
2016-04,Norte,ACES Barcelos / Esposende,"41.5317419, -8.6178922",156242,152867,97.84,3078,1.97,297,0.19,76.8416,56.7026
2016-04,Norte,ACES Feira e Arouca,"40.9263169, -8.5478813",155389,151932,97.78,3283,2.11,174,0.11,73.9346,63.9016
2016-04,Norte,ACES Maia / Valongo,"41.2333945, -8.6187474",216150,210646,97.45,5375,2.49,129,0.06,72.5862,60.7307
2016-04,Norte,ACES Porto Oriental,"41.1694498, -8.6126428",116728,111573,95.58,5115,4.38,40,0.03,71.4604,55.5179
2016-05,Algarve,ACES Algarve Central,"37.0274264, -7.9395984",239450,190624,79.61,47830,19.97,996,0.42,57.5846,36.1729
2016-05,Centro,ACES Pinhal Litoral,"39.7495331, -8.807683",265160,235390,88.77,29186,11.01,584,0.22,67.7365,53.2624
2016-05,Lisboa e Vale do Tejo,ACES Almada / Seixal,"38.6678522, -9.1875777",342336,272179,79.51,69419,20.28,738,0.22,64.2595,40.5033
2016-05,Norte,ACES Braga,"41.5518714, -8.4126362",184434,180731,97.99,3703,2.01,0,0.0,74.3615,69.5735
2016-05,Norte,ACES Feira e Arouca,"40.9263169, -8.5478813",155169,151738,97.79,3251,2.1,180,0.12,73.9346,63.9016
2016-05,Norte,ACES Gerês / Cabreira,"41.6298661, -8.3596897",106210,102308,96.33,3869,3.64,33,0.03,75.3558,65.0613
2016-05,Norte,ACES Maia / Valongo,"41.2333945, -8.6187474",216356,210984,97.52,5246,2.42,126,0.06,72.5862,60.7307
2016-05,Norte,ACES Matosinhos,"41.1918541, -8.6590693",172531,165527,95.94,6699,3.88,305,0.18,74.5912,33.8755
2016-05,Norte,ACES Porto Ocidental,"41.1741353, -8.6691662",166332,165510,99.51,543,0.33,279,0.17,66.658,6.00429
2016-05,Norte,ACES Porto Oriental,"41.1694498, -8.6126428",116767,111697,95.66,5031,4.31,39,0.03,71.4604,55.5179
2016-06,Alentejo,ACES Alentejo Litoral,"38.3841359, -8.5132031",93361,71589,76.68,21726,23.27,46,0.05,67.5503,58.2045
2016-06,Centro,ACES Guarda,"40.5353285, -7.2724426",152513,140800,92.32,10339,6.78,1374,0.9,71.927,54.6158
2016-06,Lisboa e Vale do Tejo,ACES Almada / Seixal,"38.6678522, -9.1875777",342855,272722,79.54,69395,20.24,738,0.22,64.2026,41.7211
2016-06,Lisboa e Vale do Tejo,ACES Lezíria,"39.2371689, -8.6908895",194253,156634,80.63,37076,19.09,543,0.28,69.0811,48.9726
2016-06,Lisboa e Vale do Tejo,ACES Lisboa Norte,"38.7396924, -9.168506",255081,214861,84.23,39928,15.65,292,0.11,55.736,25.1657
2016-06,Lisboa e Vale do Tejo,ACES Lisboa Ocidental e Oeiras,"38.6914388, -9.3184304",240095,199934,83.27,39410,16.41,751,0.31,57.0833,36.5558
2016-06,Norte,ACES Aveiro Norte,"40.8472225, -8.4656674",116574,108175,92.8,8365,7.18,34,0.03,74.163,64.9119
2016-06,Norte,ACES Braga,"41.5518714, -8.4126362",184634,180886,97.97,3748,2.03,0,0.0,74.063,69.9973
2016-06,Norte,ACES Matosinhos,"41.1918541, -8.6590693",172661,165668,95.95,6686,3.87,307,0.18,74.4576,56.1541
2016-06,Norte,ACES Porto Ocidental,"41.1741353, -8.6691662",166519,165686,99.5,568,0.34,265,0.16,67.1318,5.60613
2016-06,Norte,ACES Porto Oriental,"41.1694498, -8.6126428",116829,111722,95.63,5073,4.34,34,0.03,71.2785,60.1372
2016-07,Alentejo,ACES Baixo Alentejo,"38.0153039, -7.8627308",125120,123178,98.45,1806,1.44,136,0.11,71.965,55.0195
2016-07,Algarve,ACES Algarve Sotavento,"37.383008, -7.7293275",55910,53245,95.23,2614,4.68,51,0.09,67.1598,46.8821
2016-07,Lisboa e Vale do Tejo,ACES Amadora,"38.7573081, -9.23429",169099,121787,72.02,47106,27.86,206,0.12,58.2802,38.7724
2016-07,Lisboa e Vale do Tejo,ACES Arco Ribeirinho,"38.6672076, -9.0543329",219573,155781,70.95,63646,28.99,146,0.07,59.0149,41.2214
2016-07,Lisboa e Vale do Tejo,ACES Lezíria,"39.2371689, -8.6908895",194241,173646,89.4,20056,10.33,539,0.28,69.0811,48.9726
2016-07,Norte,ACES Alto Minho,"41.7056054, -8.8252713",246906,245158,99.29,1259,0.51,489,0.2,76.2388,23.6449
2016-07,Norte,ACES Aveiro Norte,"40.8472225, -8.4656674",116595,108216,92.81,8340,7.15,39,0.03,74.163,64.9119
2016-07,Norte,ACES Barcelos / Esposende,"41.5317419, -8.6178922",156445,151462,96.81,4692,3.0,291,0.19,76.4618,40.1163
2016-07,Norte,ACES Porto Ocidental,"41.1741353, -8.6691662",166962,164803,98.71,1894,1.13,265,0.16,67.1318,5.60613
2016-08,Alentejo,ACES Alentejo Central,"38.8442031, -7.5826619",167523,166047,99.12,1366,0.82,110,0.07,75.6486,64.5553
2016-08,Centro,ACES Dão Lafões,"40.6565861, -7.9124712",272459,266450,97.79,5644,2.07,365,0.13,69.0049,45.3996
2016-08,Centro,ACES Guarda,"40.5353285, -7.2724426",152684,141734,92.83,9490,6.22,1460,0.96,71.927,54.6158
2016-08,Centro,ACES Pinhal Interior Sul,"39.7510898, -7.9203657",31245,30744,98.4,180,0.58,321,1.03,79.9699,24.0781
2016-08,Lisboa e Vale do Tejo,ACES Amadora,"38.7573081, -9.23429",169621,124577,73.44,44841,26.44,203,0.12,58.2802,38.7724
2016-08,Lisboa e Vale do Tejo,ACES Lezíria,"39.2371689, -8.6908895",194334,173588,89.32,20203,10.4,543,0.28,69.0811,48.9726
2016-08,Lisboa e Vale do Tejo,ACES Lisboa Central,"38.7306317, -9.1510414",280203,225737,80.56,53478,19.09,988,0.35,53.762,34.5837
2016-08,Lisboa e Vale do Tejo,ACES Lisboa Ocidental e Oeiras,"38.6914388, -9.3184304",240571,203299,84.51,36515,15.18,757,0.31,57.0833,36.5558
2016-08,Norte,ACES Alto Minho,"41.7056054, -8.8252713",247145,245380,99.29,1262,0.51,503,0.2,76.2388,23.6449
2016-08,Norte,ACES Ave / Famalicão,"41.3835805, -8.4157518",124229,117461,94.55,6724,5.41,44,0.04,73.8084,41.2995
2016-08,Norte,ACES Douro Sul,"41.0953745, -7.8123805",74700,63590,85.13,10756,14.4,354,0.47,73.9978,59.2072
2016-08,Norte,ACES Espinho / Gaia,"41.0022421, -8.642018",185465,184839,99.66,576,0.31,50,0.03,75.0342,54.8659
2016-08,Norte,ACES Maia / Valongo,"41.2333945, -8.6187474",216879,213177,98.29,3575,1.65,127,0.06,72.4442,62.219
2016-08,Norte,ACES Marão e Douro Norte,"41.2968711, -7.7483727",108270,103553,95.64,4293,3.97,424,0.39,77.5568,69.6254
2016-08,Norte,ACES Vale do Sousa Sul,"41.1548155, -8.2163769",177602,176605,99.44,958,0.54,39,0.02,75.6433,69.5859
2016-09,Alentejo,ACES Alentejo Central,"38.8442031, -7.5826619",167617,163510,97.55,4001,2.39,106,0.06,75.2244,68.2797
2016-09,Algarve,ACES Algarve Sotavento,"37.383008, -7.7293275",56240,54360,96.66,1833,3.26,47,0.08,66.9374,41.948
2016-09,Centro,ACES Baixo Mondego,"40.2150023, -8.4071805",386103,373913,96.84,10443,2.7,1747,0.45,65.6038,29.3803
2016-09,Lisboa e Vale do Tejo,ACES Cascais,"38.69904, -9.3818008",199188,165285,82.98,33884,17.01,19,0.01,52.6761,26.365
2016-09,Lisboa e Vale do Tejo,ACES Lisboa Norte,"38.7396924, -9.168506",257197,220986,85.92,35919,13.97,292,0.11,54.9353,24.9249
2016-09,Norte,ACES Feira e Arouca,"40.9263169, -8.5478813",154333,152198,98.62,1940,1.26,195,0.13,73.5103,64.1604
2016-09,Norte,ACES Maia / Valongo,"41.2333945, -8.6187474",217321,213575,98.28,3627,1.67,119,0.05,72.0555,52.308
2016-09,Norte,ACES Póvoa do Varzim / Vila do Conde,"41.355519, -8.746653",149509,147735,98.81,1770,1.18,4,0.0,73.6925,69.3231
2016-10,Alentejo,ACES Baixo Alentejo,"38.0153039, -7.8627308",125148,121926,97.43,3079,2.46,143,0.11,71.6134,59.0869
2016-10,Algarve,ACES Algarve Central,"37.0274264, -7.9395984",242643,207878,85.67,33939,13.99,826,0.34,58.2867,33.0101
2016-10,Centro,ACES Baixo Vouga,"40.6405055, -8.6537539",385135,376809,97.84,6036,1.57,2290,0.59,72.0225,36.7288
2016-10,Centro,ACES Dão Lafões,"40.6565861, -7.9124712",272289,266939,98.04,4985,1.83,365,0.13,68.8119,21.1522
2016-10,Centro,ACES Pinhal Interior Norte,"40.1151262, -8.2473136",130999,124314,94.9,5984,4.57,701,0.54,76.4816,39.1388
2016-10,Centro,ACES Pinhal Litoral,"39.7495331, -8.807683",266824,253237,94.91,12963,4.86,624,0.23,67.6966,43.7153
2016-10,Lisboa e Vale do Tejo,ACES Arco Ribeirinho,"38.6672076, -9.0543329",220497,158438,71.85,61910,28.08,149,0.07,58.1322,40.7248
2016-10,Lisboa e Vale do Tejo,ACES Arrábida,"38.5324373, -8.8627453",226379,167012,73.78,58715,25.94,652,0.29,61.4362,42.5932
2016-10,Lisboa e Vale do Tejo,ACES Cascais,"38.69904, -9.3818008",199666,164469,82.37,35169,17.61,28,0.01,52.6761,26.365
2016-10,Lisboa e Vale do Tejo,ACES Estuário do Tejo,"38.9528113, -8.9911154",228097,160239,70.25,66712,29.25,1146,0.5,57.8084,40.5298
